,ids,growth,status
113,{'AAFOLC_06390'},0.17598182343000993,optimal
114,{'AAFOLC_18355'},0.17598182343000993,optimal
115,{'AAFOLC_06170'},0.17598182343000993,optimal
116,{'AAFOLC_13510'},0.17598182343000993,optimal
117,{'AAFOLC_11045'},0.17598182343000993,optimal
118,{'AAFOLC_03475'},1.0865445782712028e-16,optimal
119,{'AAFOLC_15520'},0.1759818234300099,optimal
120,{'AAFOLC_13535'},0.17598182343000993,optimal
121,{'AAFOLC_01390'},0.17598182343000993,optimal
122,{'AAFOLC_04230'},0.17598182343000993,optimal
123,{'AAFOLC_16035'},0.17598182343000993,optimal
124,{'AAFOLC_09005'},-1.2037802763983524e-16,optimal
125,{'AAFOLC_20670'},0.1759818234300098,optimal
126,{'AAFOLC_04150'},0.16885636915797997,optimal
127,{'AAFOLC_07420'},0.1759818234300122,optimal
128,{'AAFOLC_07165'},0.17595789057004782,optimal
129,{'AAFOLC_21240'},0.17592731732609293,optimal
130,{'AAFOLC_08500'},0.17598182343001026,optimal
131,{'AAFOLC_21105'},0.17598182343001004,optimal
132,{'AAFOLC_06185'},0.17598182343001004,optimal
133,{'AAFOLC_10540'},0.17598182343001004,optimal
134,{'AAFOLC_18280'},7.637413520189734e-16,optimal
135,{'AAFOLC_09800'},0.17598182343000984,optimal
136,{'AAFOLC_01865'},0.17598182343001004,optimal
137,{'AAFOLC_00670'},0.17598182343001004,optimal
138,{'AAFOLC_17590'},0.17598182343001392,optimal
139,{'AAFOLC_10885'},0.17598182343001392,optimal
140,{'AAFOLC_13080'},0.17598182343001392,optimal
141,{'AAFOLC_21170'},0.17598182343001392,optimal
142,{'AAFOLC_05170'},0.17598182343001392,optimal
143,{'AAFOLC_15410'},0.17598182343001392,optimal
144,{'AAFOLC_16655'},0.17598182343001392,optimal
145,{'AAFOLC_20965'},0.17598182343001392,optimal
146,{'AAFOLC_17625'},0.17598182343001392,optimal
147,{'AAFOLC_04295'},0.17598182343001392,optimal
148,{'AAFOLC_03605'},0.17598182343001392,optimal
149,{'AAFOLC_18140'},0.17598182343001392,optimal
150,{'AAFOLC_00390'},0.17598182343001392,optimal
151,{'AAFOLC_13120'},0.17598182343001392,optimal
152,{'AAFOLC_07285'},0.17598182343001392,optimal
153,{'AAFOLC_02060'},0.17598182343001392,optimal
154,{'AAFOLC_07790'},0.17598182343001392,optimal
155,{'AAFOLC_00665'},0.17598182343001392,optimal
156,{'AAFOLC_10565'},0.17598182343001392,optimal
157,{'AAFOLC_00695'},0.17598182343001392,optimal
158,{'AAFOLC_14945'},-4.8715748120798805e-17,optimal
159,{'AAFOLC_04075'},0.17598182343000943,optimal
160,{'AAFOLC_17015'},0.17598182343001392,optimal
161,{'AAFOLC_10575'},0.17598182343001392,optimal
162,{'AAFOLC_17330'},0.17598182343001392,optimal
163,{'AAFOLC_16635'},0.17598182343001392,optimal
164,{'AAFOLC_07675'},0.17598182343001642,optimal
165,{'AAFOLC_02020'},0.17598182343001642,optimal
166,{'AAFOLC_00740'},0.17598182343001642,optimal
167,{'AAFOLC_06815'},0.17598182343001642,optimal
168,{'AAFOLC_12980'},0.17598182343001642,optimal
169,{'AAFOLC_03065'},0.17598182343001642,optimal
170,{'AAFOLC_04725'},0.17598182343001642,optimal
171,{'AAFOLC_02705'},-8.122164240521846e-16,optimal
172,{'AAFOLC_05790'},0.17149699524566833,optimal
173,{'AAFOLC_09825'},0.17598182343001198,optimal
174,{'AAFOLC_05615'},0.17598182343000476,optimal
175,{'AAFOLC_00625'},0.17598182343000476,optimal
176,{'AAFOLC_04925'},3.2827776829333857e-16,optimal
177,{'AAFOLC_10360'},0.17598182343001004,optimal
178,{'AAFOLC_19415'},0.17598182343000476,optimal
179,{'AAFOLC_16065'},0.17598182343000476,optimal
180,{'AAFOLC_09375'},0.17598182343000476,optimal
181,{'AAFOLC_19600'},0.17598182343000476,optimal
182,{'AAFOLC_12280'},-4.66856325177994e-16,optimal
183,{'AAFOLC_17310'},0.17598182343001076,optimal
184,{'AAFOLC_04145'},0.17598182343000476,optimal
185,{'AAFOLC_19785'},0.17598182343000476,optimal
186,{'AAFOLC_10105'},7.2290793149413e-16,optimal
187,{'AAFOLC_06180'},0.1759818234300099,optimal
188,{'AAFOLC_04950'},0.17598182343000476,optimal
189,{'AAFOLC_16085'},0.17598182343000476,optimal
190,{'AAFOLC_19620'},0.17598182343000476,optimal
191,{'AAFOLC_21340'},7.541103652621606e-16,optimal
192,{'AAFOLC_21450'},0.1759818234300101,optimal
193,{'AAFOLC_00440'},0.17598182343001642,optimal
194,{'AAFOLC_22325'},-2.3522297595564923e-16,optimal
195,{'AAFOLC_18640'},0.17598182343001037,optimal
196,{'AAFOLC_05800'},0.17598182343001428,optimal
197,{'AAFOLC_10165'},0.17597095856548162,optimal
198,{'AAFOLC_01340'},0.17598182343001373,optimal
199,{'AAFOLC_14695'},0.17598182343001004,optimal
200,{'AAFOLC_09170'},-1.235108993080782e-16,optimal
201,{'AAFOLC_15620'},0.17598182343001018,optimal
202,{'AAFOLC_21865'},0.17598182343001004,optimal
203,{'AAFOLC_05645'},1.212658747903024e-16,optimal
204,{'AAFOLC_04380'},0.17598124451150968,optimal
205,{'AAFOLC_11405'},0.1759818234300118,optimal
206,{'AAFOLC_13815'},0.17598182343001004,optimal
207,{'AAFOLC_13065'},0.17598182343001004,optimal
208,{'AAFOLC_17060'},0.17598182343001004,optimal
209,{'AAFOLC_08165'},0.17598182343001217,optimal
210,{'AAFOLC_01020'},0.17598182343001217,optimal
211,{'AAFOLC_02515'},0.17598182343001217,optimal
212,{'AAFOLC_16495'},2.3503998752249557e-16,optimal
213,{'AAFOLC_13445'},0.1759818234300096,optimal
214,{'AAFOLC_05695'},8.744544116872561e-16,optimal
215,{'AAFOLC_21225'},0.17598182343001026,optimal
216,{'AAFOLC_08470'},0.17598182343001217,optimal
217,{'AAFOLC_08280'},0.17598182343001217,optimal
218,{'AAFOLC_19125'},0.17598182343001217,optimal
219,{'AAFOLC_14475'},0.17598182343001217,optimal
220,{'AAFOLC_05305'},0.17598182343001217,optimal
221,{'AAFOLC_22395'},0.17598182343001217,optimal
222,{'AAFOLC_15205'},0.17598182343001217,optimal
223,{'AAFOLC_22500'},1.9828891583446058e-16,optimal
224,{'AAFOLC_22200'},0.0,optimal
225,{'AAFOLC_13000'},0.17598182343000968,optimal
226,{'AAFOLC_11595'},0.17598182343001217,optimal
227,{'AAFOLC_00445'},0.17598182343001217,optimal
228,{'AAFOLC_11220'},0.17598182343001217,optimal
229,{'AAFOLC_08785'},0.17598182343001217,optimal
230,{'AAFOLC_02075'},0.17598182343001217,optimal
231,{'AAFOLC_20325'},0.17598182343001217,optimal
232,{'AAFOLC_04135'},0.16837988120283517,optimal
233,{'AAFOLC_15085'},0.17598182343001015,optimal
234,{'AAFOLC_05865'},2.776929012297147e-17,optimal
235,{'AAFOLC_00700'},0.17598182343000976,optimal
236,{'AAFOLC_10325'},0.17598182343001234,optimal
237,{'AAFOLC_07340'},0.17598182343001234,optimal
238,{'AAFOLC_19440'},0.17598182343001234,optimal
239,{'AAFOLC_02425'},0.17598182343001234,optimal
240,{'AAFOLC_03885'},5.022483002704761e-16,optimal
241,{'AAFOLC_03700'},0.17598182343000987,optimal
242,{'AAFOLC_09270'},0.17598182343001234,optimal
243,{'AAFOLC_11520'},0.17598182343001234,optimal
244,{'AAFOLC_02415'},0.17598182343001234,optimal
245,{'AAFOLC_08295'},5.523789986910035e-16,optimal
246,{'AAFOLC_09460'},0.17598182343000954,optimal
247,{'AAFOLC_01061'},0.17598182343001234,optimal
248,{'AAFOLC_15335'},2.876290015978121e-17,optimal
249,{'AAFOLC_22480'},0.1759818234300095,optimal
250,{'AAFOLC_14095'},0.17598182343001234,optimal
251,{'AAFOLC_10485'},0.17598182343001234,optimal
252,{'AAFOLC_07215'},0.17598182343001234,optimal
253,{'AAFOLC_16485'},0.17598182343001234,optimal
254,{'AAFOLC_15835'},9.48458473981213e-18,optimal
255,{'AAFOLC_18100'},0.17598182343000948,optimal
256,{'AAFOLC_10505'},0.17598182343001234,optimal
257,{'AAFOLC_21075'},0.17598182343001234,optimal
258,{'AAFOLC_10560'},0.17598182343001234,optimal
259,{'AAFOLC_02470'},0.17598182343001234,optimal
260,{'AAFOLC_17165'},0.17598182343001234,optimal
261,{'AAFOLC_17615'},0.17598182343001234,optimal
262,{'AAFOLC_20850'},0.17598182343001234,optimal
263,{'AAFOLC_09750'},0.17598182343001234,optimal
264,{'AAFOLC_16430'},0.17598182343001234,optimal
265,{'AAFOLC_05845'},0.17598182343001234,optimal
266,{'AAFOLC_07800'},0.17598182343001234,optimal
267,{'AAFOLC_09645'},0.17598182343001234,optimal
268,{'AAFOLC_16855'},0.17598182343001234,optimal
269,{'AAFOLC_02485'},0.17598182343001234,optimal
270,{'AAFOLC_07175'},0.17598182343001234,optimal
271,{'AAFOLC_10525'},0.17598182343001234,optimal
272,{'AAFOLC_08335'},0.17598182343001234,optimal
273,{'AAFOLC_04905'},4.3843877045618035e-17,optimal
274,{'AAFOLC_17475'},-6.735949018603618e-14,optimal
275,{'AAFOLC_19185'},0.17598182343000984,optimal
276,{'AAFOLC_14765'},0.1759818234300092,optimal
277,{'AAFOLC_13370'},0.1759818234300092,optimal
278,{'AAFOLC_04170'},0.1688563691579802,optimal
279,{'AAFOLC_15115'},0.1759818234300129,optimal
280,{'AAFOLC_00660'},0.17598182343000673,optimal
281,{'AAFOLC_04705'},0.17598182343000673,optimal
282,{'AAFOLC_01820'},0.17598182343000673,optimal
283,{'AAFOLC_22470'},0.17598182343000673,optimal
284,{'AAFOLC_19130'},0.17598182343000673,optimal
285,{'AAFOLC_02090'},0.17598182343000673,optimal
286,{'AAFOLC_18375'},0.17598182343000673,optimal
287,{'AAFOLC_02440'},6.190237485548915e-16,optimal
288,{'AAFOLC_10310'},0.1759818234300098,optimal
289,{'AAFOLC_13325'},0.17598182343000673,optimal
290,{'AAFOLC_02700'},0.17598182343000673,optimal
291,{'AAFOLC_21840'},0.17598182343000673,optimal
292,{'AAFOLC_13740'},0.17598182343000673,optimal
293,{'AAFOLC_17405'},0.17598182343000673,optimal
294,{'AAFOLC_10815'},0.17598182343000673,optimal
295,{'AAFOLC_01990'},0.17598182343000673,optimal
296,{'AAFOLC_07380'},0.17598182343000673,optimal
297,{'AAFOLC_04120'},0.17598005765250938,optimal
298,{'AAFOLC_03900'},0.17598182343000707,optimal
299,{'AAFOLC_16170'},0.17598182343000673,optimal
300,{'AAFOLC_11020'},0.17598182343000673,optimal
301,{'AAFOLC_15745'},0.17598182343000673,optimal
302,{'AAFOLC_02735'},1.3221723397588542e-15,optimal
303,{'AAFOLC_10150'},0.17513564565960668,optimal
304,{'AAFOLC_10125'},0.17598182343000843,optimal
305,{'AAFOLC_19450'},0.17598182343000673,optimal
306,{'AAFOLC_15785'},7.40593393945821e-16,optimal
307,{'AAFOLC_18275'},0.0,optimal
308,{'AAFOLC_13710'},2.615380310795735e-16,optimal
309,{'AAFOLC_00835'},0.0,optimal
310,{'AAFOLC_00890'},0.0,optimal
311,{'AAFOLC_07485'},0.17598182343001018,optimal
312,{'AAFOLC_02085'},0.17598182343001048,optimal
313,{'AAFOLC_15050'},0.17598182343001048,optimal
314,{'AAFOLC_05570'},0.17598182343001048,optimal
315,{'AAFOLC_14300'},0.17598182343001048,optimal
316,{'AAFOLC_00310'},0.17598182343001048,optimal
317,{'AAFOLC_20395'},0.17196694028812753,optimal
318,{'AAFOLC_03585'},0.17598182343001417,optimal
319,{'AAFOLC_03490'},0.17598182343000793,optimal
320,{'AAFOLC_17370'},0.17598182343000793,optimal
321,{'AAFOLC_06510'},0.17598182343000793,optimal
322,{'AAFOLC_05560'},0.17598182343000793,optimal
323,{'AAFOLC_03190'},3.9351566836737453e-16,optimal
324,{'AAFOLC_06590'},0.17598182343000998,optimal
325,{'AAFOLC_17240'},1.5234812557421722e-16,optimal
326,{'AAFOLC_04155'},0.17598182343001162,optimal
327,{'AAFOLC_00770'},0.17598182343001162,optimal
328,{'AAFOLC_13170'},-9.31632373580835e-16,optimal
329,{'AAFOLC_21480'},0.17598182343000973,optimal
330,{'AAFOLC_02270'},0.17598182343001342,optimal
331,{'AAFOLC_02465'},0.17598182343001342,optimal
332,{'AAFOLC_17480'},0.17598182343001342,optimal
333,{'AAFOLC_20345'},2.746514268707988e-15,optimal
334,{'AAFOLC_05910'},0.17598182343023883,optimal
335,{'AAFOLC_14465'},0.17598182343000965,optimal
336,{'AAFOLC_07305'},0.17598182343000965,optimal
337,{'AAFOLC_19090'},0.17598182343000965,optimal
338,{'AAFOLC_03950'},0.17598182343000965,optimal
339,{'AAFOLC_04550'},0.17598182343000965,optimal
340,{'AAFOLC_17315'},0.17598182343000965,optimal
341,{'AAFOLC_01100'},0.17598182343000965,optimal
342,{'AAFOLC_16245'},0.17598182343000965,optimal
343,{'AAFOLC_02815'},0.17598182343000965,optimal
344,{'AAFOLC_03660'},-1.4553672613236197e-16,optimal
345,{'AAFOLC_16625'},0.17598182343000918,optimal
346,{'AAFOLC_09635'},0.16511857119957696,optimal
347,{'AAFOLC_09685'},0.17598182343000995,optimal
348,{'AAFOLC_07645'},0.1759818234300096,optimal
349,{'AAFOLC_17025'},0.1759818234300096,optimal
350,{'AAFOLC_15925'},0.1759818234300096,optimal
351,{'AAFOLC_19155'},0.1759818234300096,optimal
352,{'AAFOLC_16100'},0.1759818234300096,optimal
353,{'AAFOLC_12290'},0.1759818234300096,optimal
354,{'AAFOLC_11000'},0.1759818234300096,optimal
355,{'AAFOLC_10950'},0.1759818234300096,optimal
356,{'AAFOLC_20310'},0.1759818234300096,optimal
357,{'AAFOLC_09180'},0.1759818234300096,optimal
358,{'AAFOLC_06360'},0.1759818234300096,optimal
359,{'AAFOLC_03235'},1.6360605684654165e-16,optimal
360,{'AAFOLC_17185'},0.17598182343001018,optimal
