,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
0,EX_co2_e,0.0,,,0.0,,,-19.4,-11.552631578947327
1,EX_co2_e,0.0,,,0.0023166831427249165,9.374135826356428,,-19.4,-11.337023593466386
2,EX_co2_e,0.0,,,0.004633366285412367,9.37413582634655,,-19.4,-11.121415607985442
3,EX_co2_e,0.0,,,0.0069500494281209465,9.374135826351113,,-19.4,-10.9058076225045
4,EX_co2_e,0.0,,,0.00926673257082882,9.374135826352314,,-19.4,-10.690199637023557
5,EX_co2_e,0.0,,,0.011583415713536627,9.374135826353031,,-19.4,-10.474591651542616
6,EX_co2_e,0.0,,,0.013900098856243836,9.37413582635295,,-19.4,-10.258983666061674
7,EX_co2_e,0.0,,,0.016216781998952462,9.374135826353987,,-19.4,-10.04337568058073
8,EX_co2_e,0.0,,,0.018533465141660578,9.374135826354404,,-19.4,-9.827767695099789
9,EX_co2_e,0.0,2.315902495059271e-28,,0.020850148284368552,9.374135826354665,,-19.4,-9.612159709618846
10,EX_co2_e,0.0,0.0,,0.023166831427075395,9.374135826354253,,-19.4,-9.396551724137904
11,EX_co2_e,0.0,0.0,,0.02548351456978331,9.374135826354438,,-19.4,-9.18094373865696
12,EX_co2_e,0.0,0.0,,0.027800197712491363,9.37413582635467,,-19.4,-8.965335753176019
13,EX_co2_e,0.0,0.0,,0.03011688085520069,9.374135826355396,,-19.4,-8.749727767695077
14,EX_co2_e,0.0,0.0,,0.032433563997907595,9.37413582635507,,-19.4,-8.534119782214134
15,EX_co2_e,0.0,0.0,,0.03475024714061532,9.374135826355088,,-19.4,-8.318511796733192
16,EX_co2_e,0.0,0.0,,0.037066930283322426,9.374135826354893,,-19.4,-8.10290381125225
17,EX_co2_e,0.0,0.0,,0.03938361342603149,9.374135826355337,,-19.4,-7.887295825771307
18,EX_co2_e,0.0,0.0,,0.04170029656873827,9.374135826355058,,-19.4,-7.671687840290366
19,EX_co2_e,0.0,0.0,,0.04401697971144653,9.374135826355227,,-19.4,-7.456079854809423
20,EX_co2_e,0.0,0.0,,0.030059839849288585,6.383156915767932,,-19.4,-7.240471869328481
21,EX_co2_e,0.0,7.22345243244648e-30,,0.0012960868433277985,0.2928415178016551,,-19.4,-7.024863883847538
22,EX_co2_e,,,,,,,-19.4,-6.809255898366596
23,EX_co2_e,,,,,,,-19.4,-6.593647912885653
24,EX_co2_e,,,,,,,-19.4,-6.378039927404711
25,EX_co2_e,,,,,,,-19.4,-6.162431941923769
26,EX_co2_e,,,,,,,-19.4,-5.9468239564428265
27,EX_co2_e,,,,,,,-19.4,-5.731215970961884
28,EX_co2_e,,,,,,,-19.4,-5.5156079854809414
29,EX_co2_e,,,,,,,-19.4,-5.299999999999999
30,EX_co2_e,,,,,,,-19.096551724137928,-11.552631578947327
31,EX_co2_e,0.0,,,0.0,,,-19.096551724137928,-11.337023593466386
32,EX_co2_e,0.0,,,0.0023166831427067604,9.374135826348825,,-19.096551724137928,-11.121415607985442
33,EX_co2_e,0.0,,,0.004633366285406648,9.37413582633422,,-19.096551724137928,-10.9058076225045
34,EX_co2_e,0.0,,,0.006950049428114568,9.374135826341389,,-19.096551724137928,-10.690199637023557
35,EX_co2_e,0.0,,,0.009266732570824677,9.374135826348361,,-19.096551724137928,-10.474591651542616
36,EX_co2_e,0.0,,,0.011583415713532597,9.374135826349814,,-19.096551724137928,-10.258983666061674
37,EX_co2_e,0.0,,,0.013900098856239862,9.374135826350328,,-19.096551724137928,-10.04337568058073
38,EX_co2_e,0.0,,,0.016216781998947563,9.374135826350987,,-19.096551724137928,-9.827767695099789
39,EX_co2_e,0.0,,,0.018533465141656796,9.374135826352497,,-19.096551724137928,-9.612159709618846
40,EX_co2_e,0.0,0.0,,0.020850148284363403,9.374135826352136,,-19.096551724137928,-9.396551724137904
41,EX_co2_e,0.0,0.0,,0.023166831427072418,9.374135826353182,,-19.096551724137928,-9.18094373865696
42,EX_co2_e,0.0,0.0,,0.025483514569781325,9.374135826353934,,-19.096551724137928,-8.965335753176019
43,EX_co2_e,0.0,0.0,,0.02780019771248782,9.374135826353491,,-19.096551724137928,-8.749727767695077
44,EX_co2_e,0.0,0.0,,0.030116880855197495,9.37413582635447,,-19.096551724137928,-8.534119782214134
45,EX_co2_e,0.0,0.0,,0.03243356399790514,9.374135826354474,,-19.096551724137928,-8.318511796733192
46,EX_co2_e,0.0,0.0,,0.03475024714061284,9.374135826354523,,-19.096551724137928,-8.10290381125225
47,EX_co2_e,0.0,0.0,,0.03706693028332142,9.374135826354838,,-19.096551724137928,-7.887295825771307
48,EX_co2_e,0.0,0.0,,0.03938361342602962,9.37413582635503,,-19.096551724137928,-7.671687840290366
49,EX_co2_e,0.0,0.0,,0.04170029656873719,9.37413582635498,,-19.096551724137928,-7.456079854809423
