,H2_uptake,ATPM_flux,GAM_value,Mean_Difference,R2_Score
0,8.7,21.2,10,0.009117696900822732,-0.7696318631125751
1,8.7,21.2,20,0.008127230637976829,-0.573674355446216
2,8.7,21.2,30,0.007341767462465042,-0.4079300945666837
3,8.7,21.2,40,0.007354053258593715,-0.26862692188552306
4,8.7,21.2,50,0.007365733453519589,-0.15250703965347023
5,8.7,21.2,60,0.007376851747841101,-0.05674842627924037
6,8.7,21.2,70,0.007387447736297916,0.021100371769953163
7,8.7,21.2,80,0.007397557378907696,0.08317458163819846
8,8.7,21.2,90,0.00740721340868488,0.13133867557582923
9,8.7,21.2,100,0.007416445685681459,0.1672245683453224
10,8.7,21.2,110,0.0074811301967513425,0.19226382318711843
11,8.7,21.2,120,0.007633627420813593,0.2077149021400635
12,8.7,21.2,130,0.007779845664673817,0.21468630102955277
13,8.7,21.2,140,0.007920164905446612,0.21415625389176174
14,8.799999999999999,21.2,10,0.009117696900822732,-0.7696318631125751
15,8.799999999999999,21.2,20,0.008127230637976829,-0.573674355446216
16,8.799999999999999,21.2,30,0.007341767462465042,-0.4079300945666837
17,8.799999999999999,21.2,40,0.007354053258593715,-0.26862692188552306
18,8.799999999999999,21.2,50,0.007365733453519589,-0.15250703965347023
19,8.799999999999999,21.2,60,0.007376851747841101,-0.05674842627924037
20,8.799999999999999,21.2,70,0.007387447736297916,0.021100371769953163
21,8.799999999999999,21.2,80,0.007397557378907696,0.08317458163819846
22,8.799999999999999,21.2,90,0.00740721340868488,0.13133867557582923
23,8.799999999999999,21.2,100,0.007416445685681459,0.1672245683453224
24,8.799999999999999,21.2,110,0.0074811301967513425,0.19226382318711843
25,8.799999999999999,21.2,120,0.007633627420813593,0.2077149021400635
26,8.799999999999999,21.2,130,0.007779845664673817,0.21468630102955277
27,8.799999999999999,21.2,140,0.007920164905446612,0.21415625389176174
28,8.899999999999999,21.2,10,0.009117696900822732,-0.7696318631125751
29,8.899999999999999,21.2,20,0.008127230637976829,-0.573674355446216
30,8.899999999999999,21.2,30,0.007341767462465042,-0.4079300945666837
31,8.899999999999999,21.2,40,0.007354053258593715,-0.26862692188552306
32,8.899999999999999,21.2,50,0.007365733453519589,-0.15250703965347023
33,8.899999999999999,21.2,60,0.007376851747841101,-0.05674842627924037
34,8.899999999999999,21.2,70,0.007387447736297916,0.021100371769953163
35,8.899999999999999,21.2,80,0.007397557378907696,0.08317458163819846
36,8.899999999999999,21.2,90,0.00740721340868488,0.13133867557582923
37,8.899999999999999,21.2,100,0.007416445685681459,0.1672245683453224
38,8.899999999999999,21.2,110,0.0074811301967513425,0.19226382318711843
39,8.899999999999999,21.2,120,0.007633627420813593,0.2077149021400635
40,8.899999999999999,21.2,130,0.007779845664673817,0.21468630102955277
41,8.899999999999999,21.2,140,0.007920164905446612,0.21415625389176174
42,8.999999999999998,21.2,10,0.009117696900822732,-0.7696318631125751
43,8.999999999999998,21.2,20,0.008127230637976829,-0.573674355446216
44,8.999999999999998,21.2,30,0.007341767462465042,-0.4079300945666837
45,8.999999999999998,21.2,40,0.007354053258593715,-0.26862692188552306
46,8.999999999999998,21.2,50,0.007365733453519589,-0.15250703965347023
47,8.999999999999998,21.2,60,0.007376851747841101,-0.05674842627924037
48,8.999999999999998,21.2,70,0.007387447736297916,0.021100371769953163
49,8.999999999999998,21.2,80,0.007397557378907696,0.08317458163819846
50,8.999999999999998,21.2,90,0.00740721340868488,0.13133867557582923
51,8.999999999999998,21.2,100,0.007416445685681459,0.1672245683453224
52,8.999999999999998,21.2,110,0.0074811301967513425,0.19226382318711843
53,8.999999999999998,21.2,120,0.007633627420813593,0.2077149021400635
54,8.999999999999998,21.2,130,0.007779845664673817,0.21468630102955277
55,8.999999999999998,21.2,140,0.007920164905446612,0.21415625389176174
56,9.099999999999998,21.2,10,0.009117696900822732,-0.7696318631125751
57,9.099999999999998,21.2,20,0.008127230637976829,-0.573674355446216
58,9.099999999999998,21.2,30,0.007341767462465042,-0.4079300945666837
59,9.099999999999998,21.2,40,0.007354053258593715,-0.26862692188552306
60,9.099999999999998,21.2,50,0.007365733453519589,-0.15250703965347023
61,9.099999999999998,21.2,60,0.007376851747841101,-0.05674842627924037
62,9.099999999999998,21.2,70,0.007387447736297916,0.021100371769953163
63,9.099999999999998,21.2,80,0.007397557378907696,0.08317458163819846
64,9.099999999999998,21.2,90,0.00740721340868488,0.13133867557582923
65,9.099999999999998,21.2,100,0.007416445685681459,0.1672245683453224
66,9.099999999999998,21.2,110,0.0074811301967513425,0.19226382318711843
67,9.099999999999998,21.2,120,0.007633627420813593,0.2077149021400635
68,9.099999999999998,21.2,130,0.007779845664673817,0.21468630102955277
69,9.099999999999998,21.2,140,0.007920164905446612,0.21415625389176174
70,9.199999999999998,21.2,10,0.009117696900822732,-0.7696318631125751
71,9.199999999999998,21.2,20,0.008127230637976829,-0.573674355446216
72,9.199999999999998,21.2,30,0.007341767462465042,-0.4079300945666837
73,9.199999999999998,21.2,40,0.007354053258593715,-0.26862692188552306
74,9.199999999999998,21.2,50,0.007365733453519589,-0.15250703965347023
75,9.199999999999998,21.2,60,0.007376851747841101,-0.05674842627924037
76,9.199999999999998,21.2,70,0.007387447736297916,0.021100371769953163
77,9.199999999999998,21.2,80,0.007397557378907696,0.08317458163819846
78,9.199999999999998,21.2,90,0.00740721340868488,0.13133867557582923
79,9.199999999999998,21.2,100,0.007416445685681459,0.1672245683453224
80,9.199999999999998,21.2,110,0.0074811301967513425,0.19226382318711843
81,9.199999999999998,21.2,120,0.007633627420813593,0.2077149021400635
82,9.199999999999998,21.2,130,0.007779845664673817,0.21468630102955277
83,9.199999999999998,21.2,140,0.007920164905446612,0.21415625389176174
84,9.299999999999997,21.2,10,0.009117696900822732,-0.7696318631125751
85,9.299999999999997,21.2,20,0.008127230637976829,-0.573674355446216
86,9.299999999999997,21.2,30,0.007341767462465042,-0.4079300945666837
87,9.299999999999997,21.2,40,0.007354053258593715,-0.26862692188552306
88,9.299999999999997,21.2,50,0.007365733453519589,-0.15250703965347023
89,9.299999999999997,21.2,60,0.007376851747841101,-0.05674842627924037
90,9.299999999999997,21.2,70,0.007387447736297916,0.021100371769953163
91,9.299999999999997,21.2,80,0.007397557378907696,0.08317458163819846
92,9.299999999999997,21.2,90,0.00740721340868488,0.13133867557582923
93,9.299999999999997,21.2,100,0.007416445685681459,0.1672245683453224
94,9.299999999999997,21.2,110,0.0074811301967513425,0.19226382318711843
95,9.299999999999997,21.2,120,0.007633627420813593,0.2077149021400635
96,9.299999999999997,21.2,130,0.007779845664673817,0.21468630102955277
97,9.299999999999997,21.2,140,0.007920164905446612,0.21415625389176174
