,H2_uptake,ATPM_flux,GAM_value,Mean_Difference,R2_Score
0,8.7,21.2,10,0.002715143416959687,0.8909833599443269
1,8.7,21.2,20,0.0017878868480010477,0.9329368336003675
2,8.7,21.2,30,0.0011391804576956236,0.9544044316521749
3,8.7,21.2,40,0.001660338039259396,0.9582921486360053
4,8.7,21.2,50,0.0021558063080981942,0.9470893901434088
5,8.7,21.2,60,0.0026274390226998685,0.9229343455174528
6,8.7,21.2,70,0.0030769157729459264,0.8876680459389419
7,8.7,21.2,80,0.0035057619655444235,0.8428792554165752
8,8.7,21.2,90,0.003915366119266463,0.7899418988890876
9,8.7,21.2,100,0.004306994883194221,0.7300463870656448
10,8.7,21.2,110,0.004765579157188351,0.6642259282310441
11,8.7,21.2,120,0.005340682668902498,0.5933787054361848
12,8.7,21.2,130,0.005892106644247699,0.5182866301221424
13,8.7,21.2,140,0.006421284067809306,0.4396312502409466
14,8.799999999999999,21.2,10,0.002715143416959687,0.8909833599443269
15,8.799999999999999,21.2,20,0.0017878868480010477,0.9329368336003675
16,8.799999999999999,21.2,30,0.0011391804576956236,0.9544044316521749
17,8.799999999999999,21.2,40,0.001660338039259396,0.9582921486360053
18,8.799999999999999,21.2,50,0.0021558063080981942,0.9470893901434088
19,8.799999999999999,21.2,60,0.0026274390226998685,0.9229343455174528
20,8.799999999999999,21.2,70,0.0030769157729459264,0.8876680459389419
21,8.799999999999999,21.2,80,0.0035057619655444235,0.8428792554165752
22,8.799999999999999,21.2,90,0.003915366119266463,0.7899418988890876
23,8.799999999999999,21.2,100,0.004306994883194221,0.7300463870656448
24,8.799999999999999,21.2,110,0.004765579157188351,0.6642259282310441
25,8.799999999999999,21.2,120,0.005340682668902498,0.5933787054361848
26,8.799999999999999,21.2,130,0.005892106644247699,0.5182866301221424
27,8.799999999999999,21.2,140,0.006421284067809306,0.4396312502409466
28,8.899999999999999,21.2,10,0.002715143416959687,0.8909833599443269
29,8.899999999999999,21.2,20,0.0017878868480010477,0.9329368336003675
30,8.899999999999999,21.2,30,0.0011391804576956236,0.9544044316521749
31,8.899999999999999,21.2,40,0.001660338039259396,0.9582921486360053
32,8.899999999999999,21.2,50,0.0021558063080981942,0.9470893901434088
33,8.899999999999999,21.2,60,0.0026274390226998685,0.9229343455174528
34,8.899999999999999,21.2,70,0.0030769157729459264,0.8876680459389419
35,8.899999999999999,21.2,80,0.0035057619655444235,0.8428792554165752
36,8.899999999999999,21.2,90,0.003915366119266463,0.7899418988890876
37,8.899999999999999,21.2,100,0.004306994883194221,0.7300463870656448
38,8.899999999999999,21.2,110,0.004765579157188351,0.6642259282310441
39,8.899999999999999,21.2,120,0.005340682668902498,0.5933787054361848
40,8.899999999999999,21.2,130,0.005892106644247699,0.5182866301221424
41,8.899999999999999,21.2,140,0.006421284067809306,0.4396312502409466
42,8.999999999999998,21.2,10,0.002715143416959687,0.8909833599443269
43,8.999999999999998,21.2,20,0.0017878868480010477,0.9329368336003675
44,8.999999999999998,21.2,30,0.0011391804576956236,0.9544044316521749
45,8.999999999999998,21.2,40,0.001660338039259396,0.9582921486360053
46,8.999999999999998,21.2,50,0.0021558063080981942,0.9470893901434088
47,8.999999999999998,21.2,60,0.0026274390226998685,0.9229343455174528
48,8.999999999999998,21.2,70,0.0030769157729459264,0.8876680459389419
49,8.999999999999998,21.2,80,0.0035057619655444235,0.8428792554165752
50,8.999999999999998,21.2,90,0.003915366119266463,0.7899418988890876
51,8.999999999999998,21.2,100,0.004306994883194221,0.7300463870656448
52,8.999999999999998,21.2,110,0.004765579157188351,0.6642259282310441
53,8.999999999999998,21.2,120,0.005340682668902498,0.5933787054361848
54,8.999999999999998,21.2,130,0.005892106644247699,0.5182866301221424
55,8.999999999999998,21.2,140,0.006421284067809306,0.4396312502409466
56,9.099999999999998,21.2,10,0.002715143416959687,0.8909833599443269
57,9.099999999999998,21.2,20,0.0017878868480010477,0.9329368336003675
58,9.099999999999998,21.2,30,0.0011391804576956236,0.9544044316521749
59,9.099999999999998,21.2,40,0.001660338039259396,0.9582921486360053
60,9.099999999999998,21.2,50,0.0021558063080981942,0.9470893901434088
61,9.099999999999998,21.2,60,0.0026274390226998685,0.9229343455174528
62,9.099999999999998,21.2,70,0.0030769157729459264,0.8876680459389419
63,9.099999999999998,21.2,80,0.0035057619655444235,0.8428792554165752
64,9.099999999999998,21.2,90,0.003915366119266463,0.7899418988890876
65,9.099999999999998,21.2,100,0.004306994883194221,0.7300463870656448
66,9.099999999999998,21.2,110,0.004765579157188351,0.6642259282310441
67,9.099999999999998,21.2,120,0.005340682668902498,0.5933787054361848
68,9.099999999999998,21.2,130,0.005892106644247699,0.5182866301221424
69,9.099999999999998,21.2,140,0.006421284067809306,0.4396312502409466
70,9.199999999999998,21.2,10,0.002715143416959687,0.8909833599443269
71,9.199999999999998,21.2,20,0.0017878868480010477,0.9329368336003675
72,9.199999999999998,21.2,30,0.0011391804576956236,0.9544044316521749
73,9.199999999999998,21.2,40,0.001660338039259396,0.9582921486360053
74,9.199999999999998,21.2,50,0.0021558063080981942,0.9470893901434088
75,9.199999999999998,21.2,60,0.0026274390226998685,0.9229343455174528
76,9.199999999999998,21.2,70,0.0030769157729459264,0.8876680459389419
77,9.199999999999998,21.2,80,0.0035057619655444235,0.8428792554165752
78,9.199999999999998,21.2,90,0.003915366119266463,0.7899418988890876
79,9.199999999999998,21.2,100,0.004306994883194221,0.7300463870656448
80,9.199999999999998,21.2,110,0.004765579157188351,0.6642259282310441
81,9.199999999999998,21.2,120,0.005340682668902498,0.5933787054361848
82,9.199999999999998,21.2,130,0.005892106644247699,0.5182866301221424
83,9.199999999999998,21.2,140,0.006421284067809306,0.4396312502409466
84,9.299999999999997,21.2,10,0.002715143416959687,0.8909833599443269
85,9.299999999999997,21.2,20,0.0017878868480010477,0.9329368336003675
86,9.299999999999997,21.2,30,0.0011391804576956236,0.9544044316521749
87,9.299999999999997,21.2,40,0.001660338039259396,0.9582921486360053
