,ATPM_flux,GAM_value,Mean_Difference,R2_Score
0,1.0,10,0.008332809528884379,0.09718870725398321
1,1.0,20,0.008172191467255717,0.12215930102110872
2,1.0,30,0.008015483971637025,0.1436155430338084
3,1.0,40,0.007862545943927117,0.16178784053511197
4,1.0,50,0.007735870071326234,0.17689078148765391
5,1.0,60,0.007632389639344898,0.18912434594711014
6,1.0,70,0.0075709175998532035,0.1986750136204518
7,1.0,80,0.007527737796949661,0.2057167774947547
8,1.0,90,0.0075086161103160715,0.2104120723815338
9,1.0,100,0.0074899234222739,0.21291262630763919
10,1.0,110,0.007471645455980386,0.213360241869462
11,1.0,120,0.007453768561143017,0.21188751394432803
12,1.0,130,0.007436279680022089,0.20861848951145534
13,1.0,140,0.007419166315622903,0.2036692747622677
14,1.1,10,0.008274582231056869,0.10610550616356551
15,1.1,20,0.008114681734359601,0.13001445172043002
16,1.1,30,0.007958674333127223,0.1504577839041702
17,1.1,40,0.0078064195596180865,0.16766333543369738
18,1.1,50,0.007696256235683335,0.18184328045983666
19,1.1,60,0.007608900486590163,0.19319533427682056
20,1.1,70,0.007547701114879446,0.20190385018419077
21,1.1,80,0.00752008777196991,0.20814082329478767
22,1.1,90,0.007501052873759306,0.21206681005344463
23,1.1,100,0.0074824450270256585,0.21383177132547082
24,1.1,110,0.007464250019725219,0.21357584610581049
25,1.1,120,0.007446454263520525,0.21143006218525717
26,1.1,130,0.007429044759937784,0.2075169894725768
27,1.1,140,0.007412009068702871,0.20195134110516255
28,1.2000000000000002,10,0.008216354933230115,0.11470994528390965
29,1.2000000000000002,20,0.008057172001463494,0.13756489393345883
30,1.2000000000000002,30,0.007901864694617658,0.15700268986608168
31,1.2000000000000002,40,0.007762783911201792,0.1732486045570053
32,1.2000000000000002,50,0.00765664240004043,0.1865124108409818
33,1.2000000000000002,60,0.0075854113338354335,0.19698957101715586
34,1.2000000000000002,70,0.007531825765284285,0.20486232306502794
35,1.2000000000000002,80,0.007512437746990351,0.21030067467813873
36,1.2000000000000002,90,0.00749348963720257,0.2134633137999934
37,1.2000000000000002,100,0.0074749666317774684,0.2144984434492898
38,1.2000000000000002,110,0.007456854583470022,0.2135445478209138
39,1.2000000000000002,120,0.0074391399658980655,0.21073109594019845
40,1.2000000000000002,130,0.007421809839853471,0.206179188517567
41,1.2000000000000002,140,0.007404851821782753,0.2000021530881616
42,1.3000000000000003,10,0.008158127635402614,0.12300202461528165
43,1.3000000000000003,20,0.00799966226856739,0.14481062766019082
44,1.3000000000000003,30,0.007845055056107688,0.16325026091962624
45,1.3000000000000003,40,0.007722693636695506,0.17854364790504973
46,1.3000000000000003,50,0.007624017860641128,0.19089817263109632
47,1.3000000000000003,60,0.007561922181080708,0.2005070561681147
48,1.3000000000000003,70,0.007524086936959715,0.20755043226298087
49,1.3000000000000003,80,0.00750478772201088,0.21219633164481488
50,1.3000000000000003,90,0.0074859264006458,0.21460158362116055
51,1.3000000000000003,100,0.007467488236529243,0.21491264267911203
52,1.3000000000000003,110,0.007449459147214826,0.2132663470147682
53,1.3000000000000003,120,0.00743182566827556,0.2097906152091672
54,1.3000000000000003,130,0.007414574919769158,0.20460508664642507
55,1.3000000000000003,140,0.007397694574862714,0.19782171071124188
56,1.4000000000000004,10,0.00809990033757503,0.1309817441575466
57,1.4000000000000004,20,0.007942152535671274,0.15175165290063652
58,1.4000000000000004,30,0.007790353022013096,0.16920049706468865
59,1.4000000000000004,40,0.00768260336218907,0.18354846547784387
60,1.4000000000000004,50,0.007600249559255423,0.19500056583018
61,1.4000000000000004,60,0.007538433028325986,0.2037477897296993
62,1.4000000000000004,70,0.0075163481086351295,0.20996817777803134
63,1.4000000000000004,80,0.007497137697031185,0.21382779419488807
64,1.4000000000000004,90,0.007478363164089166,0.21548161951693212
65,1.4000000000000004,100,0.007460009841281027,0.21507436901493138
66,1.4000000000000004,110,0.007442063710959634,0.2127412436873718
67,1.4000000000000004,120,0.007424511370653094,0.2086086199921401
68,1.4000000000000004,130,0.007407339999684858,0.20279468385914867
69,1.4000000000000004,140,0.007390537327942637,0.1954100139744238
70,1.5000000000000004,10,0.008041673039748279,0.13864910391057328
71,1.5000000000000004,20,0.007884642802775151,0.1583879696547883
72,1.5000000000000004,30,0.007749774708791588,0.1748533983014492
73,1.5000000000000004,40,0.007642513087682628,0.18826305727539738
74,1.5000000000000004,50,0.007576481257869646,0.19881959043823394
75,1.5000000000000004,60,0.0075281800389467675,0.20671177170190913
76,1.5000000000000004,70,0.0075086092803105416,0.21211555961019246
77,1.5000000000000004,80,0.007489487672051649,0.215195062328277
78,1.5000000000000004,90,0.007470799927532525,0.21610342148731598
79,1.5000000000000004,100,0.007452531446032814,0.2149836224567464
80,1.5000000000000004,110,0.0074346682747044495,0.21196923783872745
81,1.5000000000000004,120,0.007417197073030662,0.20718511028912423
82,1.5000000000000004,130,0.007400105079600553,0.20074798015574002
83,1.5000000000000004,140,0.007383380081022566,0.1927670628776944
84,1.6000000000000005,10,0.007983445741920931,0.14600410387455798
85,1.6000000000000005,20,0.007827133069879021,0.16471957792264502
86,1.6000000000000005,30,0.007709196395570583,0.18020896462971214
87,1.6000000000000005,40,0.007615444705793063,0.1926874232976754
88,1.6000000000000005,50,0.007552712956483971,0.20235524645527603
89,1.6000000000000005,60,0.0075203503213618576,0.20939900208474238
90,1.6000000000000005,70,0.007500870451986015,0.21399257775945568
91,1.6000000000000005,80,0.007481837647071978,0.21629813604504444
92,1.6000000000000005,90,0.0074632366909759325,0.21646698953232935
93,1.6000000000000005,100,0.007445053050784606,0.214640403004559
94,1.6000000000000005,110,0.007427272838449267,0.21095032946883285
95,1.6000000000000005,120,0.0074098827754081895,0.20552008610013062
96,1.6000000000000005,130,0.007392870159516237,0.19846497553620024
97,1.6000000000000005,140,0.007376222834102473,0.18989285742106476
98,1.7000000000000006,10,0.00792521844409384,0.1530467440493697
99,1.7000000000000006,20,0.007777523248839795,0.1707464777042086
100,1.7000000000000006,30,0.007668618082349132,0.18526719604961417
101,1.7000000000000006,40,0.007591390541089148,0.1968215635447229
102,1.7000000000000006,50,0.007532370427015679,0.20560753388125375
103,1.7000000000000006,60,0.007512520603776956,0.21180948087820028
104,1.7000000000000006,70,0.007493131623661387,0.21559923222583366
105,1.7000000000000006,80,0.007474187622092401,0.21713701534514418
106,1.7000000000000006,90,0.007455673454419064,0.2165723236520256
107,1.7000000000000006,100,0.007437574655536369,0.21404471065837538
108,1.7000000000000006,110,0.007419877402194064,0.20968451857769166
109,1.7000000000000006,120,0.007402568477785746,0.2036135474251477
110,1.7000000000000006,130,0.007385635239431923,0.1959456700005261
111,1.7000000000000006,140,0.007369065587182408,0.18678739760452379
112,1.8000000000000007,10,0.0078669911462665,0.15977702443518726
113,1.8000000000000007,20,0.007736444868199696,0.1764686689994831
114,1.8000000000000007,30,0.007631009808380511,0.19002809256104913
115,1.8000000000000007,40,0.007567336376385496,0.20066547801645795
116,1.8000000000000007,50,0.0075244476598869845,0.20857645271623704
117,1.8000000000000007,60,0.007504690886192043,0.2139432080822835
118,1.8000000000000007,70,0.0074853927953368,0.2169355230093134
119,1.8000000000000007,80,0.007466537597112775,0.21771170022860775
120,1.8000000000000007,90,0.007448110217862406,0.21641942384627966
121,1.8000000000000007,100,0.007430096260288153,0.21319654541818267
122,1.8000000000000007,110,0.0074124819659388795,0.20817180516529765
123,1.8000000000000007,120,0.007395254180163286,0.2014654942641837
124,1.8000000000000007,130,0.007378400319347624,0.19319006354871726
125,1.8000000000000007,140,0.007361908340262324,0.18345068342807824
126,1.9000000000000008,10,0.0078087638484392215,0.16619494503186238
127,1.9000000000000008,20,0.007695366487559622,0.18188615180846013
128,1.9000000000000008,30,0.007606662820447862,0.19449165416410952
129,1.9000000000000008,40,0.00754328221168156,0.20421916671298657
130,1.9000000000000008,50,0.007516524892758465,0.21126200296018893
131,1.9000000000000008,60,0.0074968611686071366,0.2158001836969915
132,1.9000000000000008,70,0.007477653967012278,0.21800145010989558
133,1.9000000000000008,80,0.007458887572133179,0.21802219069540862
134,1.9000000000000008,90,0.007440546981305719,0.21600829011520606
135,1.9000000000000008,100,0.007422617865039929,0.21209590728399175
136,1.9000000000000008,110,0.007405086529683679,0.2064121892316576
137,1.9000000000000008,120,0.0073879398825407675,0.1990759266172456
138,1.9000000000000008,130,0.007371165399263315,0.19019815618077962
139,1.9000000000000008,140,0.007354751093342257,0.17988271489172458
140,2.000000000000001,10,0.007764373314372006,0.17230050583938772
141,2.000000000000001,20,0.007654288106919536,0.18699892613114721
142,2.000000000000001,30,0.007582315832514887,0.19865788085879055
143,2.000000000000001,40,0.00752864355646758,0.20748262963425956
144,2.000000000000001,50,0.007508602125629974,0.213664184613089
145,2.000000000000001,60,0.00748903145102223,0.21738040772232337
146,2.000000000000001,70,0.007469915138687653,0.21879701352759495
147,2.000000000000001,80,0.00745123754715362,0.2180684867455519
148,2.000000000000001,90,0.00743298374474892,0.21533892245874076
149,2.000000000000001,100,0.007415139469791719,0.21074279625579528
150,2.000000000000001,110,0.00739769109342849,0.2044056707767652
151,2.000000000000001,120,0.0073806255849183,0.19644484448431598
152,2.000000000000001,130,0.007363930479178997,0.18696994789670884
153,2.000000000000001,140,0.007347593846422178,0.17608349199546236
154,2.100000000000001,10,0.007722782387352717,0.17809370685782344
155,2.100000000000001,20,0.0076223115161086095,0.19180699196754103
156,2.100000000000001,30,0.0075579688445823546,0.2025267726450125
157,2.100000000000001,40,0.0075206255015663704,0.2104558667802463
158,2.100000000000001,50,0.007500679358501304,0.21578299767499742
159,2.100000000000001,60,0.007481201733437314,0.21868388015828366
160,2.100000000000001,70,0.00746217631036307,0.21932221326238954
161,2.100000000000001,80,0.007443587522174061,0.21785058837905646
162,2.100000000000001,90,0.007425420508192204,0.21441132087688475
163,2.100000000000001,100,0.007407661074543505,0.20913721233359872
164,2.100000000000001,110,0.007390295657173287,0.2021522498006263
165,2.100000000000001,120,0.007373311287295844,0.19357224786539784
166,2.100000000000001,130,0.0073566955590947,0.18350543869650238
167,2.100000000000001,140,0.007340436599502124,0.1720530147392938
168,2.200000000000001,10,0.007681191460333247,0.18357454808710838
169,2.200000000000001,20,0.007597664487724562,0.19631034931764113
170,2.200000000000001,30,0.007533621856649515,0.20609832952285467
171,2.200000000000001,40,0.007512607446665185,0.21313887815099197
172,2.200000000000001,50,0.007492756591372764,0.2176184421458447
173,2.200000000000001,60,0.007473372015852409,0.21971060100486584
174,2.200000000000001,70,0.007454437482038536,0.21957704931429234
175,2.200000000000001,80,0.007435937497194425,0.21736849559590532
176,2.200000000000001,90,0.007417857271635547,0.21322548536966823
177,2.200000000000001,100,0.007400182679295275,0.20727915551739917
178,2.200000000000001,110,0.007382900220918092,0.19965192630323614
179,2.200000000000001,120,0.007365996989673432,0.19045813676048828
180,2.200000000000001,130,0.007349460639010391,0.17980462858016466
181,2.200000000000001,140,0.0073332793525820355,0.16779128312321923
182,2.300000000000001,10,0.007639600533313714,0.1887430295273167
183,2.300000000000001,20,0.007573017459340527,0.20050899818144574
184,2.300000000000001,30,0.007524825947847632,0.2093725514922934
185,2.300000000000001,40,0.007504589391763775,0.21553166374649546
186,2.300000000000001,50,0.007484833824244215,0.21917051802568532
187,2.300000000000001,60,0.00746554229826751,0.2204605702620721
188,2.300000000000001,70,0.007446698653713909,0.21956152168330767
189,2.300000000000001,80,0.007428287472214817,0.2166222083961168
190,2.300000000000001,90,0.007410294035078797,0.21178141593708077
191,2.300000000000001,100,0.007392704284047065,0.2051686258071962
192,2.300000000000001,110,0.00737550478466288,0.19690470028459994
193,2.300000000000001,120,0.007358682692050918,0.18710251116961263
194,2.300000000000001,130,0.007342225718926074,0.17586751754769558
195,2.300000000000001,140,0.007326122105661988,0.16329829714723587
196,2.4000000000000012,10,0.007613396161813933,0.19359915117844662
197,2.4000000000000012,20,0.007548370430956476,0.2044029385589613
198,2.4000000000000012,30,0.007516710285203562,0.21234943855326538
199,2.4000000000000012,40,0.007496571336862518,0.21763422356671924
200,2.4000000000000012,50,0.007476911057115636,0.22043922531450866
201,2.4000000000000012,60,0.007457712580682591,0.22093378792990603
202,2.4000000000000012,70,0.007438959825389329,0.2192756303694241
203,2.4000000000000012,80,0.007420637447235244,0.21561172677966323
204,2.4000000000000012,90,0.007402730798522123,0.21007911257911804
205,2.4000000000000012,100,0.00738522588879884,0.20280562320299278
206,2.4000000000000012,110,0.007368109348407709,0.19391057174471038
207,2.4000000000000012,120,0.007351368394428472,0.18350537109274
