,ATPM_flux,GAM_value,Mean_Difference,R2_Score
0,10.0,10,0.009526964789900626,0.008419919476663651
1,10.0,20,0.009526964789900517,0.008419919476686077
2,10.0,30,0.009526964789901721,0.008419919476468807
3,10.0,40,0.009526964789900116,0.008419919476768345
4,10.0,50,0.009526964789899318,0.008419919476913007
5,10.0,60,0.009526964789898399,0.008419919477078985
6,10.0,70,0.009526964789900873,0.008419919476617022
7,10.0,80,0.009526964789901178,0.008419919476559623
8,10.0,90,0.00952696478989994,0.008419919476791216
9,10.0,100,0.00952696478989961,0.008419919476857052
10,10.0,110,0.009526964789898767,0.00841991947700893
11,10.0,120,0.009526964789903085,0.008419919476211901
12,10.0,130,0.009526964789898684,0.008419919477026583
13,10.0,140,0.009526964789898286,0.00841991947709464
14,10.1,10,0.00952696478990072,0.00841991947664944
15,10.1,20,0.009526964789900632,0.008419919476667537
16,10.1,30,0.009526964789901726,0.008419919476467919
17,10.1,40,0.009526964789900063,0.008419919476778115
18,10.1,50,0.00952696478989938,0.008419919476896687
19,10.1,60,0.009526964789898375,0.008419919477082316
20,10.1,70,0.009526964789900873,0.008419919476617022
21,10.1,80,0.009526964789901188,0.008419919476557847
22,10.1,90,0.009526964789899945,0.008419919476790216
23,10.1,100,0.009526964789899613,0.00841991947685572
24,10.1,110,0.009526964789898763,0.008419919477009374
25,10.1,120,0.009526964789903123,0.008419919476212012
26,10.1,130,0.0095269647898987,0.00841991947702414
27,10.1,140,0.009526964789898364,0.008419919477086535
28,10.2,10,0.009526964789900708,0.00841991947664722
29,10.2,20,0.009526964789900783,0.008419919476635451
30,10.2,30,0.009526964789901735,0.008419919476465365
31,10.2,40,0.009526964789900111,0.008419919476768123
32,10.2,50,0.009526964789899405,0.008419919476890136
33,10.2,60,0.009526964789898376,0.008419919477082982
34,10.2,70,0.009526964789900928,0.008419919476606363
35,10.2,80,0.009526964789901182,0.008419919476559956
36,10.2,90,0.009526964789899945,0.008419919476791105
37,10.2,100,0.0095269647898996,0.00841991947686016
38,10.2,110,0.009526964789898775,0.00841991947700682
39,10.2,120,0.009526964789903091,0.008419919476211679
40,10.2,130,0.009526964789898697,0.00841991947702525
41,10.2,140,0.009526964789898323,0.00841991947709031
42,10.299999999999999,10,0.009526964789900718,0.00841991947665044
43,10.299999999999999,20,0.009526964789900626,0.008419919476658544
44,10.299999999999999,30,0.009526964789901733,0.008419919476466253
45,10.299999999999999,40,0.00952696478990006,0.00841991947677978
46,10.299999999999999,50,0.009526964789899447,0.008419919476884363
47,10.299999999999999,60,0.009526964789898378,0.008419919477081983
48,10.299999999999999,70,0.009526964789900925,0.008419919476606585
49,10.299999999999999,80,0.009526964789901182,0.008419919476559512
50,10.299999999999999,90,0.009526964789899933,0.008419919476792992
51,10.299999999999999,100,0.00952696478989961,0.008419919476855608
52,10.299999999999999,110,0.009526964789898779,0.00841991947700671
53,10.299999999999999,120,0.009526964789903176,0.00841991947620957
54,10.299999999999999,130,0.009526964789898713,0.008419919477022808
