id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd02662_c0	Malyl-CoA [c0]	C25H35N7O20P3S	-5	HJQWLHMLMCDAEL-ZTGLTYRUSA-I	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCSC(=O)CC(O)C(=O)[O-]	-900.08	C04348	cpd02662
cpd11590_c0	met-L-ala-L [c0]	C8H15N2O3S	-1			-98.39		cpd11590
cpd01294_c0	2-Oxepanone [c0]	C6H10O2	0	PAPBSGBWRJIAAV-UHFFFAOYSA-N	O=C1CCCCCO1	-55.1	C01880	cpd01294
cpd03641_c0	6-Hydroxyhexanoate [c0]	C6H11O3	-1	IWHLYPDWHHPVAA-UHFFFAOYSA-M	O=C([O-])CCCCCO	-116.5	C06103	cpd03641
cpd11550_c0	6-methyl-3-oxo-heptanoyl-ACP [c0]	C19H33N2O9PRS	-1					cpd11550
cpd11551_c0	6-methyl-3-hydroxy-heptanoyl-ACP [c0]	C19H35N2O9PRS	-1					cpd11551
cpd00858_c0	L-Glutamate5-semialdehyde [c0]	C5H9NO3	0	KABXUUFDPUOJMW-BYPYZUCNSA-N	NC(CCC=O)C(=O)O	-111.43	C01165	cpd00858
cpd01015_c0	Cyanate [c0]	CNO	-1	XLJMAIOERFSOGZ-UHFFFAOYSA-M	N#C[O-]	-23.3	C01417	cpd01015
cpd08625_c0	5-Hydroxyisourate [c0]	C5H4N4O4	0	LTQYPAVLAYVKTK-UHFFFAOYSA-N	O=C1N=C(O)C2(O)NC(O)=NC2=N1	-139.18	C11821	cpd08625
cpd09027_c0	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate [c0]	C5H5N4O5	-1	WHKYNCPIXMNTRQ-UHFFFAOYSA-M	N=C(O)N=C1N=C(O)NC1(O)C(=O)[O-]	-184.24	C12248	cpd09027
cpd15277_c0	Palmitoyl-ACP [c0]	C27H51N2O8PRS	-2					cpd15277
cpd11556_c0	8-methyl-trans-non-2-enoyl-ACP [c0]	C21H37N2O8PRS	-1					cpd11556
cpd11557_c0	8-methyl-nonanoyl-ACP [c0]	C21H39N2O8PRS	-1					cpd11557
cpd03424_e0	Vitamin B12 [e0]	C61H86CoN13O14PR	6				C05776	cpd03424
cpd03424_c0	Vitamin B12 [c0]	C61H86CoN13O14PR	6				C05776	cpd03424
cpd03496_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine [c0]	C95H154N9O27P2	-3			-788.99		cpd03496
cpd01700_c0	D-Citramalate [c0]	C5H6O5	-2	XFTRTWQBIOMVPK-RXMQYKEDSA-L	CC(O)(CC(=O)[O-])C(=O)[O-]	-202.61	C02612	cpd01700
cpd00137_c0	Citrate [c0]	C6H5O7	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-K	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]	-280.44	C00158	cpd00137
cpd15534_c0	phosphatidylethanolamine dioctadec-11-enoyl [c0]	C41H78NO8P	0			-290.03		cpd15534
cpd02968_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine [c0]	C41H61N9O28P2	-4	IMWOXEZVYQDRDF-MCZXNMLPSA-J	CC([O-])=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc([O-])nc3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(O)=NC(C)C(O)=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O	-1126.09	C04882	cpd02968
cpd15666_c0	Peptidoglycan polymer (n-1 subunits) [c0]	C40H63N8O21R	-2					cpd15666
cpd15665_c0	Peptidoglycan polymer (n subunits) [c0]	C80H125N16O42R	-4					cpd15665
cpd00170_c0	Gluconolactone [c0]	C6H10O6	0	PHOQVHQSTUBQQK-SQOUGZDYSA-N	O=C1OC(CO)C(O)C(O)C1O	-216.02	C00198	cpd00170
cpd00222_c0	GLCN [c0]	C6H11O7	-1	RGHNJXZEOKUKBD-SQOUGZDYSA-M	O=C([O-])C(O)C(O)C(O)C(O)CO	-268.66	C00257	cpd00222
cpd15340_c0	2-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl [c0]	C21H42NO7P	0			-304.1		cpd15340
cpd11462_c0	mRNA [c0]	null	0					cpd11462
cpd00620_c0	Pantetheine [c0]	C11H22N2O4S	0	ZNXZGRMVNNHPCA-VIFPVBQESA-N	CC(C)(CO)C(O)C(O)=NCCC(O)=NCCS	-135.144	C00831	cpd00620
cpd02507_c0	5-Carboxy-2-oxohept-3-enedioate [c0]	C8H5O7	-3	WHGVLEMQINVDLH-OWOJBTEDSA-K	O=C([O-])CC(C=CC(=O)C(=O)[O-])C(=O)[O-]	-244.49	C04052	cpd02507
cpd00977_c0	dITP [c0]	C10H12N4O13P3	-3	UFJPAQSLHAGEBL-RRKCRQDMSA-K	O=P([O-])([O-])OP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c([O-])ncnc32)CC1O	-689.74	C01345	cpd00977
cpd03704_c0	dIMP [c0]	C10H11N4O7P	-2	PHNGFPPXDJJADG-RRKCRQDMSA-L	O=P([O-])(O)OCC1OC(n2cnc3c([O-])ncnc32)CC1O	-273.74	C06196	cpd03704
cpd08023_e0	methanesulfonate [e0]	CH3O3S	-1	AFVFQIVMOAPDHO-UHFFFAOYSA-M	CS(=O)(=O)[O-]	-127.403	C11145	cpd08023
cpd08023_c0	methanesulfonate [c0]	CH3O3S	-1	AFVFQIVMOAPDHO-UHFFFAOYSA-M	CS(=O)(=O)[O-]	-127.403	C11145	cpd08023
cpd00976_c0	dIDP [c0]	C10H12N4O10P2	-2	BKUSIKGSPSFQAC-RRKCRQDMSA-L	O=P([O-])(O)OP(=O)(O)OCC1OC(n2cnc3c([O-])ncnc32)CC1O	-481.74	C01344	cpd00976
cpd01504_c0	3-Aminopropanal [c0]	C3H8NO	1	PCXDJQZLDDHMGX-UHFFFAOYSA-O	[NH3+]CCC=O	-33.41	C05665	cpd01504
cpd04098_c0	Arsenite [c0]	AsH2O3	-1	AQLMHYSWFMLWBS-UHFFFAOYSA-N	[O-][As](O)O		C06697	cpd04098
cpd04098_e0	Arsenite [e0]	AsH2O3	-1	AQLMHYSWFMLWBS-UHFFFAOYSA-N	[O-][As](O)O		C06697	cpd04098
cpd15326_c0	1-hexadec-9-enoyl-sn-glycerol 3-phosphate [c0]	C19H36O7P	-1			-321.09		cpd15326
cpd02135_c0	4-Nitrophenyl phosphate [c0]	C6H4NO6P	-2	XZKIHKMTEMTJQX-UHFFFAOYSA-L	O=[N+]([O-])c1ccc(OP(=O)([O-])[O-])cc1		C03360	cpd02135
cpd00646_c0	PNP [c0]	C6H5NO3	0	BTJIUGUIPKRLHP-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(O)cc1		C00870	cpd00646
cpd15695_c0	Diisoheptadecanoylphosphatidylethanolamine [c0]	C39H78NO8P	0			-341.61		cpd15695
cpd15368_c0	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein] [c0]	C25H45N2O9PRS	-1					cpd15368
cpd15570_c0	trans-3-cis-7-myristoleoyl-[acyl-carrier protein] [c0]	C25H43N2O8PRS	-1					cpd15570
cpd00156_e0	L-Valine [e0]	C5H11NO2	0	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CC(C)C(N)C(=O)O	-86.49	C00183	cpd00156
cpd02039_c0	1-Aminopropan-2-ol [c0]	C3H10NO	1	HXKKHQJGJAFBHI-UHFFFAOYSA-O	CC(O)C[NH3+]	-44.7	C03194	cpd02039
cpd11504_c0	8-methyl-3-oxo-decanoyl-ACP [c0]	C22H39N2O9PRS	-1					cpd11504
cpd00447_c0	Betaine aldehyde [c0]	C5H12NO	1	SXKNCCSPZDCRFD-UHFFFAOYSA-N	C[N+](C)(C)CC=O	21.67	C00576	cpd00447
cpd01080_e0	ocdca [e0]	C18H35O2	-1	QIQXTHQIDYTFRH-UHFFFAOYSA-M	CCCCCCCCCCCCCCCCCC(=O)[O-]	-60.83	C01530	cpd01080
cpd11496_c0	4-methyl-3-oxo-hexanoyl-ACP [c0]	C18H31N2O9PRS	-1					cpd11496
cpd00782_c0	Pimeloyl-CoA [c0]	C28H41N7O19P3S	-5	LYCRXMTYUZDUGA-AMIBDLERSA-I	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCSC(=O)CCCCCC(=O)[O-]	-857.18	C01063	cpd00782
cpd00649_c0	Coenzyme F420 [c0]	C29H32N5O18P	-4	GEHSZWRGPHDXJO-NALJQGANSA-J	CC(OP(=O)(O)OCC(O)C(O)C(O)Cn1c2nc(=O)nc(O)c-2cc2ccc([O-])cc21)C([O-])=NC(CCC([O-])=NC(CCC(=O)[O-])C(=O)O)C(=O)O	-653.72	C00876	cpd00649
cpd00792_c0	Reduced coenzyme F420 [c0]	C29H34N5O18P	-4	IXPYGZIWHPPILV-NALJQGANSA-J	CC(OP(=O)(O)OCC(O)C(O)C(O)CN1c2cc([O-])ccc2Cc2c(O)nc(O)nc21)C([O-])=NC(CCC([O-])=NC(CCC(=O)[O-])C(=O)O)C(=O)O	-661.18	C01080	cpd00792
cpd02655_c0	5,10-Methenyltetrahydromethanopterin [c0]	C31H41N6O16P	-2	RANKJVUGLXUXOL-UQXKJNEMSA-L	CC1Nc2[nH]c(=N)nc([O-])c2N2C=[N+](c3ccc(CC(O)C(O)C(O)COC4OC(COP(=O)([O-])OC(CCC(=O)[O-])C(=O)O)C(O)C4O)cc3)C(C)C12	-514.74	C04330	cpd02655
