id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00304_c0	>	Cytosol	Annotated_genome.CDS.4469	GTP:pyruvate 2-O-phosphotransferase [c0]		-4.92		(1)  cpd00020[c0] + (1)  cpd00038[c0] => (1)  cpd00031[c0] + (1)  cpd00061[c0] + (1)  cpd00067[c0]	(1)  Pyruvate [c0][c0] + (1)  GTP [c0][c0] => (1)  GDP [c0][c0] + (1)  Phosphoenolpyruvate [c0][c0] + (1)  H+ [c0][c0]	rxn00304		R00430	Purine metabolism	
rxn05170_c0	>	Cytosol	((Annotated_genome.CDS.55 and Annotated_genome.CDS.56 and Annotated_genome.CDS.54) or ((Annotated_genome.CDS.2154 or Annotated_genome.CDS.857 or Annotated_genome.CDS.4167) and (Annotated_genome.CDS.2155 or Annotated_genome.CDS.4166 or Annotated_genome.CDS.858 or Annotated_genome.CDS.3846)))	TRANS-RXNAVI-26732.ce.brachyexp.CPD-3609_CPD-3609 [c0]	3.A.1.1	-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00179[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00179[c0]	(1)  H2O [c0][c0] + (1)  ATP [c0][c0] + (1)  Maltose [e0][e0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  Maltose [c0][c0]	rxn05170	MALTabc			
rxn02475_c0	>	Cytosol	Annotated_genome.CDS.3246	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase [c0]		-8.88		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00957[c0] => (1)  cpd00013[c0] + (1)  cpd00931[c0]	(1)  H2O [c0][c0] + (1)  H+ [c0][c0] + (1)  2,5-Diamino-6-(5'-phosphoribosylamino) -4-pyrimidineone [c0][c0] => (1)  NH3 [c0][c0] + (1)  5-Amino-6--5-phosphoribosylaminouracil [c0][c0]	rxn02475	RIB7_1	R03459	Riboflavin metabolism	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn05339_c0	=	Cytosol	(Annotated_genome.CDS.2407 or Annotated_genome.CDS.1016)	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase [c0]		3.76		(1)  cpd00006[c0] + (1)  cpd11478[c0] <=> (1)  cpd00005[c0] + (1)  cpd11488[c0]	(1)  NADP [c0][c0] + (1)  (R) -3-Hydroxybutanoyl-[acyl-carrier protein] [c0][c0] <=> (1)  NADPH [c0][c0] + (1)  Acetoacetyl-ACP [c0][c0]	rxn05339	HBUR1	R04533	Fatty acid biosynthesis	
rxn05460_c0	>	Cytosol	(Annotated_genome.CDS.501 or Annotated_genome.CDS.1999 or (Annotated_genome.CDS.1013 or Annotated_genome.CDS.1998))	3-Oxooctodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]		2.156		(1)  cpd11476[c0] + (1)  cpd11492[c0] => (1)  cpd00011[c0] + (1)  cpd11493[c0] + (1)  cpd11570[c0]	(1)  hexadecanoyl-acp [c0][c0] + (1)  Malonyl-acyl-carrierprotein- [c0][c0] => (1)  CO2 [c0][c0] + (1)  ACP [c0][c0] + (1)  3-Oxooctodecanoyl-ACP [c0][c0]	rxn05460				
rxn09039_c0	=	Cytosol	Annotated_genome.CDS.4368	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN.c [c0]		-20.64		(1)  cpd00017[c0] + (1)  cpd15359[c0] <=> (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd15361[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  2-Octaprenyl-6-methoxy-1,4-benzoquinol [c0][c0] <=> (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  H+ [c0][c0] + (1)  2-Octaprenyl3-methyl-6-methoxy- 1,4-benzoquinol [c0][c0]	rxn09039	OMBZLM			ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|Quinone-Biosynthesis|UBISYN-PWY|Ubiquinone-Biosynthesis
rxn03108_c0	>	Cytosol	Annotated_genome.CDS.2765	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase [c0]		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd02775[c0] => (1)  cpd00008[c0] + (1)  cpd02894[c0]	(1)  ATP [c0][c0] + (1)  H+ [c0][c0] + (1)  4-Amino-5-phosphomethyl-2-methylpyrimidine [c0][c0] => (1)  ADP [c0][c0] + (1)  4-Amino-2-methyl-5-diphosphomethylpyrimidine [c0][c0]	rxn03108	PMPK	R04509	Thiamine metabolism	Biosynthesis|Cofactor-Biosynthesis|THISYN-PWY|THISYNARA-PWY|Thiamin-Salvage|Thiamine-Biosynthesis|Vitamin-Biosynthesis
rxn00675_c0	>	Cytosol	(Annotated_genome.CDS.473 or Annotated_genome.CDS.3672 or Annotated_genome.CDS.1521 or Annotated_genome.CDS.3390 or Annotated_genome.CDS.1672 or Annotated_genome.CDS.1542)	Propionyladenylate:CoA propionyltransferase [c0]		-10.42		(1)  cpd00010[c0] + (1)  cpd03560[c0] => (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd00086[c0]	(1)  CoA [c0][c0] + (1)  Propionyladenylate [c0][c0] => (1)  AMP [c0][c0] + (1)  H+ [c0][c0] + (1)  Propionyl-CoA [c0][c0]	rxn00675		R00926	Propanoate metabolism	
rxn01018_c0	>	Cytosol	Annotated_genome.CDS.2678	carbamoyl-phosphate:L-aspartate carbamoyltransferase [c0]		0.55		(1)  cpd00041[c0] + (1)  cpd00146[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00343[c0]	(1)  L-Aspartate [c0][c0] + (1)  Carbamoylphosphate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  N-Carbamoyl-L-aspartate [c0][c0]	rxn01018	ASPCT	R01397	Pyrimidine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00714_c0	>	Cytosol	(Annotated_genome.CDS.3867 or Annotated_genome.CDS.3380)	P1,P4-bis(5'-uridyl)-tetraphosphate uridylohydrolase [c0]		-18.84		(1)  cpd00001[c0] + (1)  cpd03706[c0] => (1)  cpd00062[c0] + (1)  cpd00067[c0] + (1)  cpd00091[c0]	(1)  H2O [c0][c0] + (1)  UppppU [c0][c0] => (1)  UTP [c0][c0] + (1)  H+ [c0][c0] + (1)  UMP [c0][c0]	rxn00714		R00969	Pyrimidine metabolism	
rxn08813_c0	=	Cytosol	Annotated_genome.CDS.1138	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm) [c0]		-400.27		(1)  cpd00001[c0] + (1)  cpd15321[c0] <=> (1)  cpd00067[c0] + (1)  cpd00214[c0] + (1)  cpd02090[c0]	(1)  H2O [c0][c0] + (1)  1-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl [c0][c0] <=> (1)  H+ [c0][c0] + (1)  Palmitate [c0][c0] + (1)  Glycerophosphoglycerol [c0][c0]	rxn08813	LPLIPAL1G160pp			
rxn05506_c0	>	Cytosol	Annotated_genome.CDS.3613	Arsenate transporter [c0]		0		(1)  cpd01048[c0] => (1)  cpd01048[e0]	(1)  Arsenate [c0][c0] => (1)  Arsenate [e0][e0]	rxn05506				
rxn00124_c0	>	Cytosol	Annotated_genome.CDS.1357	ATP:pyridoxal 5'-phosphotransferase [c0]		-14.03		(1)  cpd00002[c0] + (1)  cpd00215[c0] => (1)  cpd00008[c0] + (1)  cpd00016[c0] + (1)  cpd00067[c0]	(1)  ATP [c0][c0] + (1)  Pyridoxal [c0][c0] => (1)  ADP [c0][c0] + (1)  Pyridoxal phosphate [c0][c0] + (1)  H+ [c0][c0]	rxn00124	PYDXK	R00174	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn03514_c0	=	Cytosol	Annotated_genome.CDS.3952	S-adenosyl-L-methionine:precorrin-4 C11 methyltransferase [c0]				(1)  cpd00017[c0] + (1)  cpd03834[c0] <=> (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd03839[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  Precorrin 4 [c0][c0] <=> (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  H+ [c0][c0] + (1)  Precorrin 5 [c0][c0]	rxn03514	PC11M	R05181	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn08793_c0	>	Cytosol	Annotated_genome.CDS.1482	L-Lactate dehydrogenase (menaquinone) [c0]		153.23		(1)  cpd00159[c0] + (1)  cpd15500[c0] => (1)  cpd00020[c0] + (1)  cpd15499[c0]	(1)  L-Lactate [c0][c0] + (1)  Menaquinone 8 [c0][c0] => (1)  Pyruvate [c0][c0] + (1)  Menaquinol 8 [c0][c0]	rxn08793	L-LACD3			
rxn00947_c0	>	Cytosol	(Annotated_genome.CDS.1457 or Annotated_genome.CDS.4324 or Annotated_genome.CDS.2788 or Annotated_genome.CDS.4283 or Annotated_genome.CDS.3597 or Annotated_genome.CDS.4051 or Annotated_genome.CDS.3649 or Annotated_genome.CDS.3488 or Annotated_genome.CDS.4284 or Annotated_genome.CDS.962 or Annotated_genome.CDS.1662 or Annotated_genome.CDS.4316 or Annotated_genome.CDS.1459 or Annotated_genome.CDS.1598 or Annotated_genome.CDS.4258 or Annotated_genome.CDS.2390 or Annotated_genome.CDS.445 or Annotated_genome.CDS.2201 or Annotated_genome.CDS.1641)	Palmitate:CoA ligase (AMP-forming) [c0]		-21.55		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00214[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd00134[c0]	(1)  ATP [c0][c0] + (1)  CoA [c0][c0] + (1)  Palmitate [c0][c0] => (1)  PPi [c0][c0] + (1)  AMP [c0][c0] + (1)  H+ [c0][c0] + (1)  Palmitoyl-CoA [c0][c0]	rxn00947	FAA1_3	R01280	Fatty acid degradation	Activation|Activation-Inactivation-Interconversion|Alkanes-Biosynthesis|Biosynthesis|Carbohydrates-Biosynthesis|Energy-Metabolism|Fatty-acid-biosynthesis|Lipid-Biosynthesis|Stearate-Biosynthesis
rxn02971_c0	=	Cytosol	Annotated_genome.CDS.1448	5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase [c0]		3.13		(1)  cpd02536[c0] <=> (1)  cpd02255[c0]	(1)  Muconolactone [c0][c0] <=> (1)  3-oxoadipate-enol-lactone [c0][c0]	rxn02971	CATC	R04260		AROMATIC-COMPOUNDS-DEGRADATION|CATECHOL-ORTHO-CLEAVAGE-PWY|Catechol-Degradation|Degradation|MANDELATE-DEG
rxn03247_c0	=	Cytosol	((Annotated_genome.CDS.3831 or Annotated_genome.CDS.4483 or Annotated_genome.CDS.3915 or Annotated_genome.CDS.1597 or Annotated_genome.CDS.2162 or Annotated_genome.CDS.3028 or Annotated_genome.CDS.4286 or Annotated_genome.CDS.4034 or Annotated_genome.CDS.1762 or Annotated_genome.CDS.3331 or Annotated_genome.CDS.2200 or Annotated_genome.CDS.3898 or Annotated_genome.CDS.4130 or Annotated_genome.CDS.1589 or Annotated_genome.CDS.4054 or Annotated_genome.CDS.3594 or Annotated_genome.CDS.2383 or Annotated_genome.CDS.403 or Annotated_genome.CDS.3583 or Annotated_genome.CDS.3648 or Annotated_genome.CDS.4317 or Annotated_genome.CDS.1649) or (Annotated_genome.CDS.3682 or Annotated_genome.CDS.4491))	(S)-Hydroxyoctanoyl-CoA hydro-lyase [c0]		2.16		(1)  cpd03120[c0] <=> (1)  cpd00001[c0] + (1)  cpd03130[c0]	(1)  (S) -Hydroxyoctanoyl-CoA [c0][c0] <=> (1)  H2O [c0][c0] + (1)  (2E) -Octenoyl-CoA [c0][c0]	rxn03247	ECOAH3	R04746	Fatty acid elongation|Fatty acid degradation	
rxn01476_c0	>	Cytosol	Annotated_genome.CDS.1886	6-Phospho-D-glucono-1,5-lactone lactonohydrolase [c0]		-5.48		(1)  cpd00001[c0] + (1)  cpd00911[c0] => (1)  cpd00067[c0] + (1)  cpd00284[c0]	(1)  H2O [c0][c0] + (1)  6-phospho-D-glucono-1-5-lactone [c0][c0] => (1)  H+ [c0][c0] + (1)  6-Phospho-D-gluconate [c0][c0]	rxn01476	PGL	R02035	Pentose phosphate pathway	C1-COMPOUNDS|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Oxidation|GLYCOLYSIS-E-D|OXIDATIVEPENT-PWY|P122-PWY|PENTOSE-P-PWY|Pentose-Phosphate-Cycle|RUMP-PWY|Sugars-And-Polysaccharides|Xylose-Degradation
