id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol	(Annotated_genome.CDS.1852 or Annotated_genome.CDS.1851)	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c0]		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE [c0][c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  Dihydropteroate [c0][c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00351_c0	>	Cytosol	Annotated_genome.CDS.4583	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming) [c0]		-6.35		(1)  cpd00002[c0] + (1)  cpd00033[c0] + (1)  cpd00506[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00042[c0] + (1)  cpd00067[c0]	(1)  ATP [c0][c0] + (1)  Glycine [c0][c0] + (1)  gamma-Glutamylcysteine [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  GSH [c0][c0] + (1)  H+ [c0][c0]	rxn00351	GSH2	R00497	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn07431_c0	=	Cytosol	Annotated_genome.CDS.3606	R07600 [c0]		-2.81		(1)  cpd00213[c0] + (1)  cpd14700[c0] <=> (1)  cpd00056[c0] + (1)  cpd02700[c0]	(1)  Lipoamide [c0][c0] + (1)  2-Methyl-1-hydroxypropyl-TPP [c0][c0] <=> (1)  TPP [c0][c0] + (1)  S-(2-Methylpropionyl) -dihydrolipoamide [c0][c0]	rxn07431		R07600	Valine, leucine and isoleucine degradation	
rxn00836_c0	<	Cytosol	Annotated_genome.CDS.797	IMP:diphosphate phospho-D-ribosyltransferase [c0]		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00114[c0] <= (1)  cpd00103[c0] + (1)  cpd00226[c0]	(1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  IMP [c0][c0] <= (1)  PRPP [c0][c0] + (1)  HYXN [c0][c0]	rxn00836	HPT1_1	R01132	Purine metabolism	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage
rxn00423_c0	>	Cytosol	(Annotated_genome.CDS.1370 or Annotated_genome.CDS.2229)	acetyl-CoA:L-serine O-acetyltransferase [c0]		-3.61		(1)  cpd00022[c0] + (1)  cpd00054[c0] => (1)  cpd00010[c0] + (1)  cpd00722[c0]	(1)  Acetyl-CoA [c0][c0] + (1)  L-Serine [c0][c0] => (1)  CoA [c0][c0] + (1)  O-Acetyl-L-serine [c0][c0]	rxn00423	SERAT	R00586	Cysteine and methionine metabolism|Sulfur metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|Detoxification|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Other-biosynthesis|SULFATE-CYS-PWY
rxn00364_c0	=	Cytosol	Annotated_genome.CDS.3941	ATP:CMP phosphotransferase [c0]		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP [c0][c0] + (1)  CMP [c0][c0] + (1)  H+ [c0][c0] <=> (1)  ADP [c0][c0] + (1)  CDP [c0][c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn05561_c0	=	Cytosol	(Annotated_genome.CDS.4126 or Annotated_genome.CDS.4119 or Annotated_genome.CDS.3666 or Annotated_genome.CDS.1660)	Transport of dicarboxylates, extracellular [c0]		0		(1)  cpd00067[e0] + (1)  cpd00106[e0] <=> (1)  cpd00067[c0] + (1)  cpd00106[c0]	(1)  H+ [e0][e0] + (1)  Fumarate [e0][e0] <=> (1)  H+ [c0][c0] + (1)  Fumarate [c0][c0]	rxn05561	FUMt2r			
rxn03408_c0	=	Cytosol	Annotated_genome.CDS.714	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase [c0]		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine [c0][c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine [c0][c0] <=> (1)  UDP [c0][c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala [c0][c0]	rxn03408		R05032	Peptidoglycan biosynthesis	
rxn02177_c0	>	Cytosol	Annotated_genome.CDS.104	Isochorismate pyruvate-hydrolase [c0]		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O [c0][c0] + (1)  Isochorismate [c0][c0] => (1)  Pyruvate [c0][c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate [c0][c0]	rxn02177		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn05250_c0	>	Cytosol	(Annotated_genome.CDS.1457 or Annotated_genome.CDS.4324 or Annotated_genome.CDS.2788 or Annotated_genome.CDS.4283 or Annotated_genome.CDS.3597 or Annotated_genome.CDS.4051 or Annotated_genome.CDS.3649 or Annotated_genome.CDS.3488 or Annotated_genome.CDS.4284 or Annotated_genome.CDS.962 or Annotated_genome.CDS.1662 or Annotated_genome.CDS.4316 or Annotated_genome.CDS.1459 or Annotated_genome.CDS.1598 or Annotated_genome.CDS.4258 or Annotated_genome.CDS.2390 or Annotated_genome.CDS.445 or Annotated_genome.CDS.2201 or Annotated_genome.CDS.1641)	FACOAL160(ISO) [c0]		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP [c0][c0] + (1)  CoA [c0][c0] + (1)  fa6 [c0][c0] => (1)  PPi [c0][c0] + (1)  AMP [c0][c0] + (1)  fa6coa [c0][c0]	rxn05250				
rxn00646_c0	>	Cytosol	Annotated_genome.CDS.3486	L-glutamate:L-cysteine gamma-ligase (ADP-forming) [c0]		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP [c0][c0] + (1)  L-Glutamate [c0][c0] + (1)  L-Cysteine [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  gamma-Glutamylcysteine [c0][c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn05440_c0	>	Cytosol	(Annotated_genome.CDS.500 or Annotated_genome.CDS.3522 or Annotated_genome.CDS.3653)	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c0]		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11527[c0] => (1)  cpd00003[c0] + (1)  cpd11528[c0]	(1)  NADH [c0][c0] + (1)  H+ [c0][c0] + (1)  7-methyl-trans-oct-2-enoyl-ACP [c0][c0] => (1)  NAD [c0][c0] + (1)  7-methyl-octanoyl-ACP [c0][c0]	rxn05440				
rxn01673_c0	=	Cytosol	Annotated_genome.CDS.282	ATP:dCDP phosphotransferase [c0]		0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP [c0][c0] + (1)  dCDP [c0][c0] <=> (1)  ADP [c0][c0] + (1)  dCTP [c0][c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn00247_c0	>	Cytosol	Annotated_genome.CDS.4519	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming) [c0]	4.1.1.49	-9.82		(1)  cpd00002[c0] + (1)  cpd00032[c0] => (1)  cpd00008[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  ATP [c0][c0] + (1)  Oxaloacetate [c0][c0] => (1)  ADP [c0][c0] + (1)  CO2 [c0][c0] + (1)  Phosphoenolpyruvate [c0][c0]	rxn00247	PCK1	R00341	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism|Carbon fixation in photosynthetic organisms	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis
rxn02342_c0	>	Cytosol	(Annotated_genome.CDS.3102 and Annotated_genome.CDS.419 and Annotated_genome.CDS.3100)	R03270 [c0]		-2.81		(1)  cpd00213[c0] + (1)  cpd03049[c0] => (1)  cpd00056[c0] + (1)  cpd00836[c0]	(1)  Lipoamide [c0][c0] + (1)  2-Hydroxyethyl-ThPP [c0][c0] => (1)  TPP [c0][c0] + (1)  S-Acetyldihydrolipoamide [c0][c0]	rxn02342		R03270	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn01452_c0	<	Cytosol	((Annotated_genome.CDS.2197 or Annotated_genome.CDS.2196 or Annotated_genome.CDS.2802 or Annotated_genome.CDS.864) or Annotated_genome.CDS.2193)	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase [c0]		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <= (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP [c0][c0] + (1)  (S) -3-Hydroxybutyryl-CoA [c0][c0] <= (1)  NADPH [c0][c0] + (1)  H+ [c0][c0] + (1)  Acetoacetyl-CoA [c0][c0]	rxn01452		R01976	Benzoate degradation|Butanoate metabolism	
rxn00022_c0	>	Cytosol	Annotated_genome.CDS.1630	maltose glucohydrolase [c0]		-3.11		(1)  cpd00001[c0] + (1)  cpd00179[c0] => (2)  cpd00027[c0]	(1)  H2O [c0][c0] + (1)  Maltose [c0][c0] => (2)  D-Glucose [c0][c0]	rxn00022		R00028	Starch and sucrose metabolism	
rxn05667_c0	=	Cytosol	Annotated_genome.CDS.3614	TRANS-RXN4LZ-7041.ce [c0]		0		(1)  cpd00073[e0] <=> (1)  cpd00073[c0]	(1)  Urea [e0][e0] <=> (1)  Urea [c0][c0]	rxn05667	UREAt			
rxn02000_c0	=	Cytosol	Annotated_genome.CDS.2687	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase [c0]		0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose [c0][c0] <=> (1)  dTDP-4-oxo-L-rhamnose [c0][c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn03239_c0	=	Cytosol	((Annotated_genome.CDS.3186 or Annotated_genome.CDS.1597 or Annotated_genome.CDS.2196 or Annotated_genome.CDS.1245 or Annotated_genome.CDS.403 or Annotated_genome.CDS.167 or Annotated_genome.CDS.2162 or Annotated_genome.CDS.2197) or Annotated_genome.CDS.3492)	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase [c0]		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD [c0][c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA [c0][c0] <=> (1)  NADH [c0][c0] + (1)  H+ [c0][c0] + (1)  3-Oxopalmitoyl-CoA [c0][c0]	rxn03239	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn05457_c0	=	Cytosol	Annotated_genome.CDS.1017	[Acyl-carrier-protein] acetyltransferase [c0]		0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA [c0][c0] + (1)  Myristoyl-ACP [c0][c0] <=> (1)  Myristoyl-CoA [c0][c0] + (1)  ACP [c0][c0]	rxn05457	FAS1_6_c			
rxn00107_c0	>	Cytosol	Annotated_genome.CDS.282	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase [c0]		0		(1)  cpd00002[c0] + (1)  cpd07923[c0] => (1)  cpd00008[c0] + (1)  cpd07924[c0]	(1)  ATP [c0][c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate [c0][c0] => (1)  ADP [c0][c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate [c0][c0]	rxn00107		R00139	Pyrimidine metabolism	
rxn08934_c0	=	Cytosol	Annotated_genome.CDS.1630	Maltodextrin glucosidase (maltopentaose) [c0]		-3.11		(1)  cpd00001[c0] + (1)  cpd15495[c0] <=> (1)  cpd00027[c0] + (1)  cpd01399[c0]	(1)  H2O [c0][c0] + (1)  Maltopentaose [c0][c0] <=> (1)  D-Glucose [c0][c0] + (1)  Maltotetraose [c0][c0]	rxn08934	MLTG3			
rxn12008_c0	<	Cytosol	Annotated_genome.CDS.3534	R05611 [c0]		22.53		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd02557[c0] <= (1)  cpd00113[c0] + (1)  cpd02590[c0]	(1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  Farnesylfarnesylgeraniol [c0][c0] <= (1)  Isopentenyldiphosphate [c0][c0] + (1)  all-trans-Heptaprenyl diphosphate [c0][c0]	rxn12008	HEPTT	R05611		
rxn04070_c0	>	Cytosol	Annotated_genome.CDS.3113	pyridoxine 5'-phosphate synthase [c0]	2.6.99.2	-22.13		(1)  cpd08289[c0] + (1)  cpd08449[c0] => (2)  cpd00001[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00478[c0]	(1)  1-deoxy-D-xylulose5-phosphate [c0][c0] + (1)  3-Amino-2-oxopropyl phosphate [c0][c0] => (2)  H2O [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  Pyridoxine phosphate [c0][c0]	rxn04070	PDX5PS2	R05838	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00199_c0	>	Cytosol	Annotated_genome.CDS.3417	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming) [c0]		-3.09		(1)  cpd00067[c0] + (1)  cpd03187[c0] => (1)  cpd00011[c0] + (1)  cpd00024[c0]	(1)  H+ [c0][c0] + (1)  Oxalosuccinate [c0][c0] => (1)  CO2 [c0][c0] + (1)  2-Oxoglutarate [c0][c0]	rxn00199	IDP2_2	R00268	Citrate cycle (TCA cycle)	
rxn03433_c0	>	Cytosol	Annotated_genome.CDS.3178	(S)-3-Hydroxyisobutyryl-CoA hydrolase [c0]		-5.76		(1)  cpd00001[c0] + (1)  cpd03572[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00876[c0]	(1)  H2O [c0][c0] + (1)  (S) -3-Hydroxyisobutyryl-CoA [c0][c0] => (1)  CoA [c0][c0] + (1)  H+ [c0][c0] + (1)  3-Hydroxyisobutyrate [c0][c0]	rxn03433	3HBCOAHL	R05064	Valine, leucine and isoleucine degradation	
rxn10231_c0	>	Cytosol	Annotated_genome.CDS.3576	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c0]		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine [c0][c0] + (1)  CDP-1,2-diisohexadecanoylglycerol [c0][c0] => (1)  CMP [c0][c0] + (2)  H+ [c0][c0] + (1)  Diisohexadecanoylphosphatidylserine [c0][c0]	rxn10231				
rxn12637_c0	=	Cytosol	(Annotated_genome.CDS.4159 or Annotated_genome.CDS.1275 or Annotated_genome.CDS.3788 or Annotated_genome.CDS.9)	RXN0-6987.c [c0]		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O [c0][c0] + (1)  gly-asp-L [c0][c0] <=> (1)  Glycine [c0][c0] + (1)  L-Aspartate [c0][c0]	rxn12637	AMPEP13			
rxn09240_c0	>	Cytosol	(Annotated_genome.CDS.3155 and Annotated_genome.CDS.3154)	Sulfate adenyltransferase [c0]		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] => (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O [c0][c0] + (1)  ATP [c0][c0] + (1)  GTP [c0][c0] + (1)  Sulfate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  PPi [c0][c0] + (1)  GDP [c0][c0] + (1)  H+ [c0][c0] + (1)  APS [c0][c0]	rxn09240	SADT2			
rxn00172_c0	<	Cytosol	(Annotated_genome.CDS.3329 or Annotated_genome.CDS.3593)	Acetate:CoA ligase (ADP-forming) [c0]		0.48		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00029[c0] <= (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00022[c0]	(1)  ATP [c0][c0] + (1)  CoA [c0][c0] + (1)  Acetate [c0][c0] <= (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  Acetyl-CoA [c0][c0]	rxn00172		R00229	Glycolysis / Gluconeogenesis|Pyruvate metabolism	Acetate-Formation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|Fermentation|Pyruvate-Degradation
rxn01219_c0	=	Cytosol	Annotated_genome.CDS.3941	ATP:dCMP phosphotransferase [c0]		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP [c0][c0] + (1)  H+ [c0][c0] + (1)  dCMP [c0][c0] <=> (1)  ADP [c0][c0] + (1)  dCDP [c0][c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism	
rxn02168_c0	=	Cytosol	Annotated_genome.CDS.1970	(3R)-3-Hydroxybutanoyl-CoA hydro-lyase [c0]		2.16		(1)  cpd02234[c0] <=> (1)  cpd00001[c0] + (1)  cpd00650[c0]	(1)  (R) -3-Hydroxybutanoyl-CoA [c0][c0] <=> (1)  H2O [c0][c0] + (1)  Crotonyl-CoA [c0][c0]	rxn02168		R03027	Glyoxylate and dicarboxylate metabolism|Butanoate metabolism	
rxn00800_c0	=	Cytosol	(Annotated_genome.CDS.2969 or Annotated_genome.CDS.2969)	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) [c0]		7.34		(1)  cpd02375[c0] <=> (1)  cpd00018[c0] + (1)  cpd00106[c0]	(1)  Adenylosuccinate [c0][c0] <=> (1)  AMP [c0][c0] + (1)  Fumarate [c0][c0]	rxn00800	ADE13_2	R01083	Purine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn09177_c0	>	Cytosol	Annotated_genome.CDS.4366	(R)-4'-Phosphopantothenate:L-cysteine ligase [c0]		-26.84		(1)  cpd00052[c0] + (1)  cpd00084[c0] + (1)  cpd02201[c0] => (1)  cpd00012[c0] + (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd02666[c0]	(1)  CTP [c0][c0] + (1)  L-Cysteine [c0][c0] + (1)  4-phosphopantothenate [c0][c0] => (1)  PPi [c0][c0] + (1)  CMP [c0][c0] + (2)  H+ [c0][c0] + (1)  (R) -4'-Phosphopantothenoyl-L-cysteine [c0][c0]	rxn09177	PPNCL2	R04231	Pantothenate and CoA biosynthesis	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis
rxn00211_c0	=	Cytosol	Annotated_genome.CDS.3345	UDP-glucose:NAD+ 6-oxidoreductase [c0]		-4.58		(1)  cpd00001[c0] + (2)  cpd00003[c0] + (1)  cpd00026[c0] <=> (2)  cpd00004[c0] + (3)  cpd00067[c0] + (1)  cpd00144[c0]	(1)  H2O [c0][c0] + (2)  NAD [c0][c0] + (1)  UDP-glucose [c0][c0] <=> (2)  NADH [c0][c0] + (3)  H+ [c0][c0] + (1)  UDPglucuronate [c0][c0]	rxn00211	UDPGD	R00286	Pentose and glucuronate interconversions|Ascorbate and aldarate metabolism|Starch and sucrose metabolism|Amino sugar and nucleotide sugar metabolism	Activation-Inactivation-Interconversion|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|Interconversion|PWY3DJ-35471|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00179_c0	>	Cytosol	Annotated_genome.CDS.269	ATP:L-glutamate 5-phosphotransferase [c0]		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] => (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP [c0][c0] + (1)  L-Glutamate [c0][c0] => (1)  ADP [c0][c0] + (1)  L-Glutamyl 5-phosphate [c0][c0]	rxn00179	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY
rxn02945_c0	>	Cytosol	(Annotated_genome.CDS.2949 or Annotated_genome.CDS.3539)	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase [c0]		-13.19		(1)  cpd02168[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03211[c0]	(1)  Prephytoene diphosphate [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  15-cis-Phytoene [c0][c0]	rxn02945		R04218	Carotenoid biosynthesis	Biosynthesis|CAROTENOID-PWY|CAROTENOID-SYN|Lycopene-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|TETRATERPENOID-SYN|Terpenoid-Biosynthesis
rxn01210_c0	>	Cytosol	(Annotated_genome.CDS.4604 and Annotated_genome.CDS.4604)	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming) [c0]		-20.65		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00201[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03524[c0]	(1)  ATP [c0][c0] + (1)  L-Glutamate [c0][c0] + (1)  10-Formyltetrahydrofolate [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  10-Formyl-THF-L-glutamate [c0][c0]	rxn01210		R01654		
rxn00192_c0	>	Cytosol	(Annotated_genome.CDS.4135 or (Annotated_genome.CDS.880 or Annotated_genome.CDS.700 or Annotated_genome.CDS.3752 or Annotated_genome.CDS.201 or Annotated_genome.CDS.4010 or Annotated_genome.CDS.2031 or Annotated_genome.CDS.3411 or Annotated_genome.CDS.159 or Annotated_genome.CDS.4155))	acetyl-CoA:L-glutamate N-acetyltransferase [c0]		-5.29		(1)  cpd00022[c0] + (1)  cpd00023[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00477[c0]	(1)  Acetyl-CoA [c0][c0] + (1)  L-Glutamate [c0][c0] => (1)  CoA [c0][c0] + (1)  H+ [c0][c0] + (1)  N-Acetyl-L-glutamate [c0][c0]	rxn00192	ACGS	R00259	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn01218_c0	>	Cytosol	(Annotated_genome.CDS.3133 or (Annotated_genome.CDS.1906 or Annotated_genome.CDS.1610))	2'-Deoxycytidine 5'-monophosphate phosphohydrolase [c0]		7.21		(1)  cpd00001[c0] + (1)  cpd00206[c0] => (1)  cpd00009[c0] + (1)  cpd00654[c0]	(1)  H2O [c0][c0] + (1)  dCMP [c0][c0] => (1)  Phosphate [c0][c0] + (1)  Deoxycytidine [c0][c0]	rxn01218	NTD3	R01664	Pyrimidine metabolism	
rxn00509_c0	>	Cytosol	(Annotated_genome.CDS.4045 or Annotated_genome.CDS.4046 or Annotated_genome.CDS.3958)	Succinate-semialdehyde:NADP+ oxidoreductase [c0]	1.2.1.79	-9.8		(1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd00199[c0] => (1)  cpd00005[c0] + (1)  cpd00036[c0] + (2)  cpd00067[c0]	(1)  H2O [c0][c0] + (1)  NADP [c0][c0] + (1)  4-Oxobutanoate [c0][c0] => (1)  NADPH [c0][c0] + (1)  Succinate [c0][c0] + (2)  H+ [c0][c0]	rxn00509	SSALy	R00714	Alanine, aspartate and glutamate metabolism|Tyrosine metabolism|Butanoate metabolism	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|Degradation|Energy-Metabolism|GLUTAMATE-DEG|Nicotine-Degradation|ORNARGDEG-PWY|Other-Degradation|P105-PWY|P181-PWY|PWY3O-210|TCA-VARIANTS
rxn05654_c0	=	Cytosol	(Annotated_genome.CDS.4126 or Annotated_genome.CDS.4119 or Annotated_genome.CDS.3666 or Annotated_genome.CDS.1660)	Transport of succinate, extracellular [c0]		0		(1)  cpd00036[e0] + (1)  cpd00067[e0] <=> (1)  cpd00036[c0] + (1)  cpd00067[c0]	(1)  Succinate [e0][e0] + (1)  H+ [e0][e0] <=> (1)  Succinate [c0][c0] + (1)  H+ [c0][c0]	rxn05654	SUCCt2b			
