pi_flux(mmol/gdw/h),Growth Rate(h-1),pi_rate(g/l/h)
0.01214,0.038170949,0.027947164
0.01213,0.038139506,0.027924143
0.01212,0.038108064,0.027901122
0.01211,0.038076622,0.027878102
0.0121,0.038045179,0.027855081
0.01209,0.038013737,0.02783206
0.01208,0.037982295,0.027809039
0.01207,0.037950852,0.027786019
0.01206,0.03791941,0.027762998
0.01205,0.037887968,0.027739977
0.01204,0.037856526,0.027716957
0.01203,0.037825083,0.027693936
0.01202,0.037793641,0.027670915
0.01201,0.037762199,0.027647894
0.012,0.037730756,0.027624874
0.01199,0.037699314,0.027601853
0.01198,0.037667872,0.027578832
0.01197,0.037636429,0.027555811
0.01196,0.037604987,0.027532791
0.01195,0.037573545,0.02750977
0.01194,0.037542103,0.027486749
0.01193,0.03751066,0.027463729
0.01192,0.037479218,0.027440708
0.01191,0.037447776,0.027417687
0.0119,0.037416333,0.027394666
0.01189,0.037384891,0.027371646
0.01188,0.037353449,0.027348625
0.01187,0.037322007,0.027325604
0.01186,0.037290564,0.027302583
0.01185,0.037259122,0.027279563
0.01184,0.03722768,0.027256542
0.01183,0.037196237,0.027233521
0.01182,0.037164795,0.0272105
0.01181,0.037133353,0.02718748
0.0118,0.03710191,0.027164459
0.01179,0.037070468,0.027141438
0.01178,0.037039026,0.027118418
0.01177,0.037007584,0.027095397
0.01176,0.036976141,0.027072376
0.01175,0.036944699,0.027049355
0.01174,0.036913257,0.027026335
0.01173,0.036881814,0.027003314
0.01172,0.036850372,0.026980293
0.01171,0.03681893,0.026957272
0.0117,0.036787487,0.026934252
0.01169,0.036756045,0.026911231
0.01168,0.036724603,0.02688821
0.01167,0.036693161,0.02686519
0.01166,0.036661718,0.026842169
0.01165,0.036630276,0.026819148
0.01164,0.036598834,0.026796127
0.01163,0.036567391,0.026773107
0.01162,0.036535949,0.026750086
0.01161,0.036504507,0.026727065
0.0116,0.036473065,0.026704044
0.01159,0.036441622,0.026681024
0.01158,0.03641018,0.026658003
0.01157,0.036378738,0.026634982
0.01156,0.036347295,0.026611962
0.01155,0.036315853,0.026588941
0.01154,0.036284411,0.02656592
0.01153,0.036252968,0.026542899
0.01152,0.036221526,0.026519879
0.01151,0.036190084,0.026496858
0.0115,0.036158642,0.026473837
0.01149,0.036127199,0.026450816
0.01148,0.036095757,0.026427796
0.01147,0.036064315,0.026404775
0.01146,0.036032872,0.026381754
0.01145,0.03600143,0.026358734
0.01144,0.035969988,0.026335713
0.01143,0.035938545,0.026312692
0.01142,0.035907103,0.026289671
0.01141,0.035875661,0.026266651
0.0114,0.035844219,0.02624363
0.01139,0.035812776,0.026220609
0.01138,0.035781334,0.026197588
0.01137,0.035749892,0.026174568
0.01136,0.035718449,0.026151547
0.01135,0.035687007,0.026128526
0.01134,0.035655565,0.026105506
0.01133,0.035624122,0.026082485
0.01132,0.03559268,0.026059464
0.01131,0.035561238,0.026036443
0.0113,0.035529796,0.026013423
0.01129,0.035498353,0.025990402
0.01128,0.035466911,0.025967381
0.01127,0.035435469,0.02594436
0.01126,0.035404026,0.02592134
0.01125,0.035372584,0.025898319
0.01124,0.035341142,0.025875298
0.01123,0.0353097,0.025852278
0.01122,0.035278257,0.025829257
0.01121,0.035246815,0.025806236
0.0112,0.035215373,0.025783215
0.01119,0.03518393,0.025760195
0.01118,0.035152488,0.025737174
0.01117,0.035121046,0.025714153
0.01116,0.035089603,0.025691132
0.01115,0.035058161,0.025668112
0.01114,0.035026719,0.025645091
0.01113,0.034995277,0.02562207
0.01112,0.034963834,0.02559905
0.01111,0.034932392,0.025576029
0.0111,0.03490095,0.025553008
0.01109,0.034869507,0.025529987
0.01108,0.034838065,0.025506967
0.01107,0.034806623,0.025483946
0.01106,0.03477518,0.025460925
0.01105,0.034743738,0.025437904
0.01104,0.034712296,0.025414884
0.01103,0.034680854,0.025391863
0.01102,0.034649411,0.025368842
0.01101,0.034617969,0.025345822
0.011,0.034586527,0.025322801
0.01099,0.034555084,0.02529978
0.01098,0.034523642,0.025276759
0.01097,0.0344922,0.025253739
0.01096,0.034460758,0.025230718
0.01095,0.034429315,0.025207697
0.01094,0.034397873,0.025184676
0.01093,0.034366431,0.025161656
0.01092,0.034334988,0.025138635
0.01091,0.034303546,0.025115614
0.0109,0.034272104,0.025092594
0.01089,0.034240661,0.025069573
0.01088,0.034209219,0.025046552
0.01087,0.034177777,0.025023531
0.01086,0.034146335,0.025000511
0.01085,0.034114892,0.02497749
0.01084,0.03408345,0.024954469
0.01083,0.034052008,0.024931448
0.01082,0.034020565,0.024908428
0.01081,0.033989123,0.024885407
0.0108,0.033957681,0.024862386
0.01079,0.033926238,0.024839366
0.01078,0.033894796,0.024816345
0.01077,0.033863354,0.024793324
0.01076,0.033831912,0.024770303
0.01075,0.033800469,0.024747283
0.01074,0.033769027,0.024724262
0.01073,0.033737585,0.024701241
0.01072,0.033706142,0.02467822
0.01071,0.0336747,0.0246552
0.0107,0.033643258,0.024632179
0.01069,0.033611815,0.024609158
0.01068,0.033580373,0.024586138
0.01067,0.033548931,0.024563117
0.01066,0.033517489,0.024540096
0.01065,0.033486046,0.024517075
0.01064,0.033454604,0.024494055
0.01063,0.033423162,0.024471034
0.01062,0.033391719,0.024448013
0.01061,0.033360277,0.024424992
0.0106,0.033328835,0.024401972
0.01059,0.033297393,0.024378951
0.01058,0.03326595,0.02435593
0.01057,0.033234508,0.024332909
0.01056,0.033203066,0.024309889
0.01055,0.033171623,0.024286868
0.01054,0.033140181,0.024263847
0.01053,0.033108739,0.024240827
0.01052,0.033077296,0.024217806
0.01051,0.033045854,0.024194785
0.0105,0.033014412,0.024171764
0.01049,0.03298297,0.024148744
0.01048,0.032951527,0.024125723
0.01047,0.032920085,0.024102702
0.01046,0.032888643,0.024079681
0.01045,0.0328572,0.024056661
0.01044,0.032825758,0.02403364
0.01043,0.032794316,0.024010619
0.01042,0.032762873,0.023987599
0.01041,0.032731431,0.023964578
0.0104,0.032699989,0.023941557
0.01039,0.032668547,0.023918536
0.01038,0.032637104,0.023895516
0.01037,0.032605662,0.023872495
0.01036,0.03257422,0.023849474
0.01035,0.032542777,0.023826453
0.01034,0.032511335,0.023803433
0.01033,0.032479893,0.023780412
0.01032,0.03244845,0.023757391
0.01031,0.032417008,0.023734371
0.0103,0.032385566,0.02371135
0.01029,0.032354124,0.023688329
0.01028,0.032322681,0.023665308
0.01027,0.032291239,0.023642288
0.01026,0.032259797,0.023619267
0.01025,0.032228354,0.023596246
0.01024,0.032196912,0.023573225
0.01023,0.03216547,0.023550205
0.01022,0.032134028,0.023527184
0.01021,0.032102585,0.023504163
0.0102,0.032071143,0.023481143
0.01019,0.032039701,0.023458122
0.01018,0.032008258,0.023435101
0.01017,0.031976816,0.02341208
0.01016,0.031945374,0.02338906
0.01015,0.031913931,0.023366039
0.01014,0.031882489,0.023343018
0.01013,0.031851047,0.023319997
0.01012,0.031819605,0.023296977
0.01011,0.031788162,0.023273956
0.0101,0.03175672,0.023250935
0.01009,0.031725278,0.023227915
0.01008,0.031693835,0.023204894
0.01007,0.031662393,0.023181873
0.01006,0.031630951,0.023158852
0.01005,0.031599508,0.023135832
0.01004,0.031568066,0.023112811
